cohort,rank,ssr_lambda,edit_count,metric,baseline_mean,baseline_ci95_low,baseline_ci95_high,ssr_mean,ssr_ci95_low,ssr_ci95_high,delta_mean,delta_ci95_low,delta_ci95_high
rank32_shared_250,32,0.03,1,history_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,1,pre_edit_output_consistency,19.36881134286523,17.89571247715503,21.14942028792575,19.339496195316315,17.863252898212522,21.14689842844382,-0.029315147548913956,-0.11280351458117364,0.040139988064765916
rank32_shared_250,32,0.03,1,immediate_efficacy,90.0,70.0,100.0,90.0,70.0,100.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,1,immediate_rephrase,70.0,40.0,100.0,80.0,50.0,100.0,10.0,0.0,30.0
rank32_shared_250,32,0.03,1,immediate_portability,10.0,0.0,30.0,10.0,0.0,30.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,1,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,2,history_efficacy,45.0,35.0,50.0,45.0,35.0,50.0,0.0,-15.0,15.0
rank32_shared_250,32,0.03,2,pre_edit_output_consistency,18.63203538581729,17.965494647156447,19.240638786926866,19.580625761300325,18.076641861349344,21.88525151461363,0.948590375483036,0.004572527948766947,2.769158996641636
rank32_shared_250,32,0.03,2,immediate_efficacy,90.0,75.0,100.0,90.0,75.0,100.0,0.0,-15.0,15.0
rank32_shared_250,32,0.03,2,immediate_rephrase,70.0,45.0,95.0,65.0,45.0,85.0,-5.0,-20.0,10.0
rank32_shared_250,32,0.03,2,immediate_portability,15.0,0.0,30.0,10.0,0.0,25.0,-5.0,-15.0,0.0
rank32_shared_250,32,0.03,2,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,5,history_efficacy,14.0,6.0,22.0,14.0,8.0,20.0,0.0,-10.0,10.0
rank32_shared_250,32,0.03,5,pre_edit_output_consistency,19.888671822845936,17.556167990434915,23.545419946312904,19.78302713483572,17.583621100522578,23.108191993087527,-0.10564468801021576,-0.3667428200133145,0.046680298633873435
rank32_shared_250,32,0.03,5,immediate_efficacy,74.0,62.0,86.0,78.0,70.0,86.0,4.0,-8.0,20.0
rank32_shared_250,32,0.03,5,immediate_rephrase,58.0,40.0,74.0,58.0,44.0,72.0,0.0,-10.0,10.0
rank32_shared_250,32,0.03,5,immediate_portability,16.0,8.0,26.0,12.0,2.0,22.0,-4.0,-10.0,0.0
rank32_shared_250,32,0.03,5,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rank32_shared_250,32,0.03,10,history_efficacy,8.0,5.0,10.0,7.0,4.0,10.0,-1.0,-4.0,2.0
rank32_shared_250,32,0.03,10,pre_edit_output_consistency,20.438024792820215,18.346084587275982,23.10668408498168,19.39968716353178,18.089111659210175,21.27876630332321,-1.038337629288435,-3.0325869657099247,0.07960306527093053
rank32_shared_250,32,0.03,10,immediate_efficacy,77.0,65.0,88.0,74.0,68.0,80.0,-3.0,-11.0,6.0
rank32_shared_250,32,0.03,10,immediate_rephrase,59.0,45.0,72.0,57.0,47.0,67.0,-2.0,-9.0,5.0
rank32_shared_250,32,0.03,10,immediate_portability,13.0,7.0,19.0,11.0,5.0,18.0,-2.0,-7.0,2.0
