cohort,stage,metric,n,mean,ci95_low,ci95_high,unit
primary,1,all_miou,10,0.0021056301533628474,-0.008938971486904812,0.01703938849630937,pp
primary,1,old_miou,10,0.002819795083385257,-0.010943413100188426,0.020728799253826313,pp
primary,2,all_miou,10,-1.1961906051768467,-1.4029657988768285,-1.0132731563268094,pp
primary,2,old_miou,10,-0.7194761296923469,-0.9176653138085555,-0.5641281479741567,pp
primary,3,all_miou,10,1.4395311978223735,1.058152440386908,1.8174569817875852,pp
primary,3,old_miou,10,1.3139062389259015,0.8641586266591894,1.7599137542664622,pp
primary,4,all_miou,10,2.188714728664353,1.48342914624089,2.8620083156874836,pp
primary,4,old_miou,10,1.9868907172873829,1.3008215066048567,2.656835289508828,pp
primary,5,all_miou,10,1.8971479973067178,1.4578726253900176,2.302657042696894,pp
primary,5,old_miou,10,1.8436375351328784,1.3902441489794164,2.2828826190362728,pp
primary,6,all_miou,10,2.1710876848319645,1.7561112622337542,2.6201218437495224,pp
primary,6,old_miou,10,1.7120310736141575,1.3225131425392338,2.1611046798805855,pp
primary,7,all_miou,10,1.220790084777588,0.691997337456724,1.7630253670704799,pp
primary,7,old_miou,10,0.910762264919277,0.3458811922950211,1.4923343838976044,pp
primary,8,all_miou,10,1.1787447692286308,0.6721135507978249,1.6464073872209168,pp
primary,8,old_miou,10,0.909863200121137,0.5942520198259083,1.2140867948667788,pp
primary,9,all_miou,10,1.0026084010684504,0.3609565341577939,1.586143602497604,pp
primary,9,old_miou,10,0.6765686799528661,0.06715937201483557,1.2207845367759016,pp
primary,10,all_miou,10,0.8056056339908841,0.2698848796050629,1.2917846450304171,pp
primary,10,old_miou,10,0.7308777709063965,0.06462421958129322,1.32733853749044,pp
