dataset,cohort,setting,horizon_edits,rank,n_paired,status,efficacy_baseline_mean,efficacy_ssr_mean,efficacy_delta_mean,efficacy_delta_ci_low,efficacy_delta_ci_high,locality_baseline_mean,locality_ssr_mean,locality_delta_mean,locality_delta_ci_low,locality_delta_ci_high,source
ZsRE,ZsRE breadth 100-edit,independent breadth confirmation,100,8,10,historical cohort summary,71.6,71.9,0.2999999999999986,-8.2,8.599999999999998,,,-0.25,-0.55,0.0,raw/ssr_cosmos_lora_breadth_3node_20260902_r1_qwen_lora_breadth/rank_8_confirmation_summary.json
ZsRE,ZsRE breadth 100-edit,independent breadth confirmation,100,16,10,historical cohort summary,58.1,61.0,2.8999999999999995,-4.000000000000001,10.0,,,0.1,-0.1,0.3,raw/ssr_cosmos_lora_breadth_3node_20260902_r1_qwen_lora_breadth/rank_16_confirmation_summary.json
ZsRE,ZsRE breadth 100-edit,independent breadth confirmation,100,32,10,historical cohort summary,50.4,60.4,10.0,3.900000000000002,16.0,,,-0.1,-0.45,0.25,raw/ssr_cosmos_lora_breadth_3node_20260902_r1_qwen_lora_breadth/rank_32_confirmation_summary.json
ZsRE,ZsRE breadth 100-edit,independent breadth confirmation,100,64,10,historical cohort summary,44.2,46.9,2.6999999999999993,-2.7000000000000006,8.8,,,0.45,0.05,0.9,raw/ssr_cosmos_lora_breadth_3node_20260902_r1_qwen_lora_breadth/rank_64_confirmation_summary.json
ZsRE,ZsRE main 100-edit,independent confirmation,100,8,10,historical cohort summary,69.4,81.5,12.1,7.4,17.9,,,0.05,-0.3,0.35,raw/local_source/zsre_main_and_rank32_summary.json
ZsRE,ZsRE main 100-edit,independent confirmation,100,16,10,historical cohort summary,62.2,67.8,5.6,-3.900000000000001,14.9,,,0.3,0.0,0.65,raw/local_source/zsre_main_and_rank32_summary.json
ZsRE,ZsRE main 100-edit,independent confirmation,100,32,10,historical cohort summary,54.2,58.9,4.700000000000001,-6.1,14.7,,,0.3,-0.1,0.85,raw/local_source/zsre_main_and_rank32_summary.json
ZsRE,ZsRE main 100-edit,independent confirmation,100,64,10,historical cohort summary,45.9,48.0,2.1000000000000005,-1.7999999999999972,6.200000000000001,,,-0.1,-0.3,0.1,raw/local_source/zsre_main_and_rank32_summary.json
ZsRE,ZsRE rank stress 250-edit,rank-specific confirmation,250,8,10,historical cohort summary,54.279999999999994,68.72,14.439999999999998,7.920000000000004,19.839999999999996,,,-0.039999999999999966,-0.38,0.27999999999999997,raw/local_source/zsre_v36_250_rank_sweep.json
ZsRE,ZsRE rank stress 250-edit,rank-specific confirmation,250,16,10,historical cohort summary,50.12,60.28000000000001,10.159999999999998,1.0799999999999996,18.360999999999983,,,-0.019999999999999997,-0.25999999999999995,0.22000000000000003,raw/local_source/zsre_v36_250_rank_sweep.json
ZsRE,ZsRE rank stress 250-edit,fixed-coefficient interpolation,250,32,10,historical cohort summary,42.28,49.8,7.520000000000001,1.4000000000000028,12.480000000000004,,,-0.08,-0.34,0.13999999999999999,raw/local_source/zsre_main_and_rank32_summary.json
ZsRE,ZsRE rank stress 250-edit,rank-specific confirmation,250,64,10,historical cohort summary,39.44,46.32000000000001,6.879999999999998,1.1600000000000001,13.239999999999998,,,-0.26,-0.58,-1.1102230246251566e-17,raw/local_source/zsre_v36_250_rank_sweep.json
WikiRecent,new 100-edit rank sweep,Qwen2.5-7B-Instruct; LoRA q_proj/v_proj; rank 8; alpha/r=4; lambda=0.03,100,8,5,complete,65.8,76.0,10.2,8.2,12.599999999999998,10.902559385059385,11.758960483960482,0.8564010989010985,0.447631257631258,1.2207142857142848,displayed n=5 orders matching main-text Figure 5
WikiRecent,new 100-edit rank sweep,Qwen2.5-7B-Instruct; LoRA q_proj/v_proj; rank 16; alpha/r=4; lambda=0.01,100,16,5,complete,54.0,68.2,14.2,10.0,18.4,8.435168165168164,10.06804195804196,1.6328737928737926,0.6902669552669565,2.575480630480629,displayed n=5 orders matching main-text Figure 5
