dataset,rank,seed,edits,metric,unit,baseline,ssr,delta
WikiRecent,32,17631,1,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17633,1,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17637,1,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17638,1,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17640,1,immediate_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17631,1,immediate_locality_target_consistency,percent,11.11111111111111,11.11111111111111,0.0
WikiRecent,32,17633,1,immediate_locality_target_consistency,percent,25.0,25.0,0.0
WikiRecent,32,17637,1,immediate_locality_target_consistency,percent,7.6923076923076925,7.6923076923076925,0.0
WikiRecent,32,17638,1,immediate_locality_target_consistency,percent,25.0,25.0,0.0
WikiRecent,32,17640,1,immediate_locality_target_consistency,percent,16.666666666666664,16.666666666666664,0.0
WikiRecent,32,17631,1,history_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17633,1,history_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17637,1,history_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17638,1,history_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17640,1,history_efficacy,percent,100.0,100.0,0.0
WikiRecent,32,17631,1,pre_edit_output_consistency,percent,39.18325211852789,39.1832385212183,-1.3597309589385986e-05
WikiRecent,32,17633,1,pre_edit_output_consistency,percent,36.22610103338957,36.226415261626244,0.00031422823667526245
WikiRecent,32,17637,1,pre_edit_output_consistency,percent,37.56473455578089,37.56480645388365,7.189810276031494e-05
WikiRecent,32,17638,1,pre_edit_output_consistency,percent,39.4405871629715,39.440336637198925,-0.0002505257725715637
WikiRecent,32,17640,1,pre_edit_output_consistency,percent,35.76048817485571,35.74063666164875,-0.01985151320695877
WikiRecent,32,17631,1,center_surround_contrast,dimensionless,-0.0035191964333145215,0.022582753453337188,0.02610194988665171
WikiRecent,32,17633,1,center_surround_contrast,dimensionless,-0.0092477877582756,0.016309119695506524,0.025556907453782127
WikiRecent,32,17637,1,center_surround_contrast,dimensionless,-0.00788861017333277,0.01973811205347634,0.027626722226809113
WikiRecent,32,17638,1,center_surround_contrast,dimensionless,-0.0092477877582756,0.016309119695506524,0.025556907453782127
WikiRecent,32,17640,1,center_surround_contrast,dimensionless,-0.012009449870674871,0.01325375231889276,0.02526320218956763
WikiRecent,32,17631,1,kernel_alignment,dimensionless,-0.0027182872489512583,0.036758871273247805,0.03947715852219906
WikiRecent,32,17633,1,kernel_alignment,dimensionless,-0.009887275657612398,0.028301786437298557,0.03818906209491096
