family,seed,n_edits,plain_efficacy_pct,ssr_efficacy_pct,efficacy_delta_pp,plain_locality_pct,ssr_locality_pct,locality_delta_pp,control_file,treatment_file,control_sha256,treatment_sha256
Gaussian,15001,100,14.000000000000002,16.0,1.9999999999999982,7.3106032856032845,5.569592907092907,-1.7410103785103779,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15001/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_gaussian_cosine/seed_15001/results.json,ba08ec07b73173d084729e8a7a88e418cd9caffe07a3e54f1d7135e7de6630bd,743a37f0acf53e082d36ef5fbd637cb44550ad7f783413e763e2c09a3c3e1f72
Gaussian,15002,100,15.0,12.0,-3.0,16.637158103334574,19.070556077909007,2.433397974574433,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15002/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_gaussian_cosine/seed_15002/results.json,dc8a639c3872df32807d1f1119a376c5a224315ae00714cf65b45802c4d5974b,1b990eb30f62088d05348c868355cd5078d24b1a070721735925ec7f9d5bcef1
Gaussian,15003,100,16.0,7.000000000000001,-9.0,7.60609235535706,9.926385950650655,2.3202935952935952,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15003/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_gaussian_cosine/seed_15003/results.json,e5d6ef75e2cd9c68991cf4d928a29dc667b11dc1b2cec14d59b992a62faee204,858ce036f04003617ef8ea74134e9737a194ffda0fb3dbc58e8d9242cd8818d3
Laplace,15001,100,14.000000000000002,14.000000000000002,0.0,7.3106032856032845,7.879080641580642,0.5684773559773575,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15001/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_laplace_cosine/seed_15001/results.json,ba08ec07b73173d084729e8a7a88e418cd9caffe07a3e54f1d7135e7de6630bd,549c24beaf0f763f9f375d11659cb030ee5abca709166ef24720d41f8d36d3e1
Laplace,15002,100,15.0,9.0,-6.0,16.637158103334574,16.534928388604854,-0.1022297147297202,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15002/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_laplace_cosine/seed_15002/results.json,dc8a639c3872df32807d1f1119a376c5a224315ae00714cf65b45802c4d5974b,f706d5d308491074b26781910ea5679239a57d3388a5afbe49023f48f02fbabe
Laplace,15003,100,16.0,8.0,-8.0,7.60609235535706,10.35116117542588,2.74506882006882,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15003/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_laplace_cosine/seed_15003/results.json,e5d6ef75e2cd9c68991cf4d928a29dc667b11dc1b2cec14d59b992a62faee204,f97a8f1520c4b530f54fcae216c566dde3773fbdb87e8f524e0d9b73def025b4
Cauchy,15001,100,14.000000000000002,14.000000000000002,0.0,7.3106032856032845,9.53853923853924,2.2279359529359555,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15001/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_cauchy_cosine/seed_15001/results.json,ba08ec07b73173d084729e8a7a88e418cd9caffe07a3e54f1d7135e7de6630bd,6dd946d5201c8719aa2d2de2c2641b1f398777122d347651f8db4722ddacd5d1
Cauchy,15002,100,15.0,17.0,2.0,16.637158103334574,17.964564438829143,1.3274063354945689,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15002/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_cauchy_cosine/seed_15002/results.json,dc8a639c3872df32807d1f1119a376c5a224315ae00714cf65b45802c4d5974b,7635c0d16f40998b6804e1347b6dcf94a5752913a472c7286f41a2d03beec04c
Cauchy,15003,100,16.0,10.0,-6.0,7.60609235535706,13.931086397262865,6.324994041905805,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15003/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_cauchy_cosine/seed_15003/results.json,e5d6ef75e2cd9c68991cf4d928a29dc667b11dc1b2cec14d59b992a62faee204,157dd1c495662e2ff9db5a0fdbe9d18494414f3b1ecebbfa96e48542c81c81cc
Inverse multiquadric,15001,100,14.000000000000002,15.0,0.9999999999999982,7.3106032856032845,7.532514707514708,0.22191142191142355,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/ft/seed_15001/results.json,source_data/raw/knowledge_editing/cosmos_kernel_development_20260901/radial_inverse_cosine/seed_15001/results.json,ba08ec07b73173d084729e8a7a88e418cd9caffe07a3e54f1d7135e7de6630bd,96f7143cf6e9dc689ab2328c1d9a1d27dce1294ed21d397c32c99d63964ba130
