dataset,seed,data_offset,n_edits,plain_efficacy_pct,ssr_efficacy_pct,efficacy_delta_pp,plain_locality_pct,ssr_locality_pct,locality_delta_pp,plain_status,ssr_status,plain_attempted_succeeded_failed,ssr_attempted_succeeded_failed,locality_protocol_sha256,control_file,treatment_file,control_sha256,treatment_sha256
WikiData CounterFact,9311,500,100,6.0,8.0,2.0,5.078361344537815,9.758664211605389,4.6803028670675735,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/cf_plain/none/seed_9311/results.json,source_data/raw/knowledge_editing/meeting_extension_all/cf_ssr_only/cosine/seed_9311/results.json,5ee48987077f640b150e426379c852d0ba73713d58d5f0481ebbe0568682a4a2,e6246e7a6a2f7475f2bd2ef2990b189342bc75dc77d2405a77bbd5f4a464296e
WikiData CounterFact,9315,500,100,6.0,11.0,5.0,5.9419907706672435,8.118407817672523,2.1764170470052795,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/cf_plain/none/seed_9315/results.json,source_data/raw/knowledge_editing/meeting_extension_all/cf_ssr_only/cosine/seed_9315/results.json,ed3d69f388bee173fa5aae6a5adfaba127469fe8bb5b70ace97b10a0d0d37eb4,8db204995843e6fcfb874d28dfb2bcd3dd452e9a8382739e94372cafc4bd1b85
WikiData CounterFact,9319,500,100,8.0,18.0,10.0,4.711255819344056,6.172726701403172,1.4614708820591158,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/cf_plain/none/seed_9319/results.json,source_data/raw/knowledge_editing/meeting_extension_all/cf_ssr_only/cosine/seed_9319/results.json,8dbf20104be525b4e827588d38c4695434b4da996e1c56c0b05b29fd824b0fa9,53b9d1fbe818b9c24e3de9286c7fc2461dba1f4c136aaa95f4b0bf6544ed5f55
WikiData CounterFact,9325,500,100,10.0,11.0,1.0,5.818171126259362,7.873719744307984,2.055548618048622,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/cf_plain/none/seed_9325/results.json,source_data/raw/knowledge_editing/meeting_extension_all/cf_ssr_only/cosine/seed_9325/results.json,51c07450320e4da4844649a66395a45dc1559f88526db6c9b9b02cfce1abaa1b,3ed1645ff3c72123674d0159657bfbf6468322af7e5efe3651d2596888265b34
WikiData CounterFact,9329,500,100,15.0,18.0,3.0,6.759938509203215,7.749131424131425,0.9891929149282106,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/cf_plain/none/seed_9329/results.json,source_data/raw/knowledge_editing/meeting_extension_all/cf_ssr_only/cosine/seed_9329/results.json,e483f85a78897a6bd44806d1a601a688b245a308d2ab3fc189e0b0d812938af5,4c10a79a3868c51ff244904269b9d63ef12839b3c119a9bb32ed4ec52d3b2629
WikiRecent,9313,500,100,55.00000000000001,57.99999999999999,2.999999999999986,30.674819624819616,31.839430014430004,1.164610389610388,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/recent_plain_none/seed_9313/results.json,source_data/raw/knowledge_editing/meeting_extension_all/recent_ssr_cosine/seed_9313/results.json,1e8e23cfa5ce5ce6fe33dacde8aefeec58715067db08e3794b369f892cc0d204,3d5f9714fb040bb747b97b8b453af1189e9f366d6c558bbff239848d4ed1342a
WikiRecent,9315,500,100,59.0,60.0,1.0,33.16172438672438,38.102525252525254,4.940800865800874,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/recent_plain_none/seed_9315/results.json,source_data/raw/knowledge_editing/meeting_extension_all/recent_ssr_cosine/seed_9315/results.json,815c911c409004a11b411602a5441c0563dcd3b305a54a2883cc73b38f9c8bfb,5add377d28d6f8cc16b7b779cf3582dfc9c0a55dbc7ce05957f28fc7cd9e4ab4
WikiRecent,9319,500,100,46.0,60.0,14.0,31.372727272727268,34.88344155844155,3.510714285714279,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/recent_plain_none/seed_9319/results.json,source_data/raw/knowledge_editing/meeting_extension_all/recent_ssr_cosine/seed_9319/results.json,bb99b8e2ec41af49b3dbef1d5f8e00156b99e9a59dc22b0ce1fe81d76cfe34ac,46207459af28d44885d96199c6932286c287f0ff1f114c6e834cb35b73590500
WikiRecent,9325,500,100,61.0,61.0,0.0,30.417207792207783,33.72987012987012,3.3126623376623385,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/recent_plain_none/seed_9325/results.json,source_data/raw/knowledge_editing/meeting_extension_all/recent_ssr_cosine/seed_9325/results.json,f100b0ff2006bbc7d08a3bed84e79d0d6343115ac828192dd8340d1659d0f167,534104a482314c0848a161137d4b938836d3247f25113e442c6c22da92762991
WikiRecent,9329,500,100,50.0,52.0,2.0,23.783116883116882,27.97878787878787,4.195670995670987,complete,complete,100/100/0,100/100/0,57ea2e5960ad3b442d0c4f9c76eaa3d84db64906ab5dd3667dca14d7f88d12e2,source_data/raw/knowledge_editing/meeting_extension_all/recent_plain_none/seed_9329/results.json,source_data/raw/knowledge_editing/meeting_extension_all/recent_ssr_cosine/seed_9329/results.json,8ad17aa8b9ae06e543976b81bb9b77f9d3f1d4802564bc3968a990befab23bc2,6c53049b48234a87878f43e01d8b470caf286ab1e1cc3a93813c0cef52788754
