cohort,role,model,dataset,dataset_sha256,rank,alpha,alpha_over_rank,trainable_parameters,learning_rate,train_steps,ssr_lambda,horizon_edits,seed,edit_order_sha256,source_index
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12231,bb17fc9fb3ed5bc6fc80145b8586021c94ff1f49c7bdb39c2e85824441d64477,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12232,359139dbcec7ff97d0e4db460941fcd9cc6fe51b40c5f5bef540374eacaf5585,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12233,bf669ff4700e7538ce9e0cf6d147d4125183c06b243e0940d64c836162d0bb95,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12234,2a025378f594fd0337dd14584c29cee6f8e9e4015cce91245c3f6c8ab9908b3d,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12235,92886b70654507b7694f5327200f32416e785aa3e22010b2fe516c452869ac9c,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12236,f7657710baa0537201c00b921957c780221db7b5cf2e9446107ae69b291a7119,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12237,c53cd66411a9c05c8f9b7fedd13928e425f0063e487c3651ccbc522c281a71d4,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12238,2e551b8d3ad3a7c8d484d5b46a595c1b3ba21ce750f478a173c3cdcdaaa9681d,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12239,3fc47e6a08247e9c868ddb7d744056d0d07c256b2b5d01c8cc5c7b5cecfba2df,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-primary-100,confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,100,12240,a306c1601306e0d47666e122103ac7827c390a47b7f32f4f004b0c63b6a68518,source_data/figure5_20260905/remote/zsre_primary_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12131,2738f2250d47a3a9da0fa5bbc0c9b01d1bf9af6f580df45e44682992d1005a2a,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12132,5baa9017edcfdd9121a9aeb387c4db225599e01c74c3a1b904ae17a1a855a6a9,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12133,0e134f86598c382a415879508bfa3927062ce414861c16a2623cfeae15fdb6a1,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12134,2d799484cb0deab0cb3cf2019bb4e1886df33eeee71edc09594aa461984d6829,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12135,94747b80f6385d09495478512a615acdf18de4988d01229b2748fd99927dabeb,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12136,7cc89c755ca554819120449e049d4ca549ef9b76edc669ee64de3c5ae77f2320,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12137,f371204cb218dd883c4e936d8ffe922a759eed6611e9629db6df5775c6ca690b,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12138,4770b6ee381c210cc31920847982e37dae86ba61b942ab3f09e40ed88f7270e4,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12139,c87eca554dfa1e730531f4deccd7952df69b3be3c9c0876b3cbd3b276e817b05,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r8-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,8,32,4.0,2523136,0.005,60,0.03,250,12140,15fb0e0d5b3476e6cc8916f21700068152947dc95de3a101d3f285d7226bc2db,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
ZsRE-r16-rank-250,rank confirmation,Qwen2.5-7B-Instruct,ZsRE,0e0214dda853a906ef02bef58c7ce2978af5a962e91fc4a10827e0125459905c,16,64,4.0,5046272,0.005,60,0.03,250,12131,2738f2250d47a3a9da0fa5bbc0c9b01d1bf9af6f580df45e44682992d1005a2a,source_data/figure5_20260905/remote/zsre_250_rank_sweep/stream_index.json
