checkpoint_edits,endpoint,LoRA_percent,LoRA_plus_SSR_percent,paired_delta_pp,paired_delta_ci_low_pp,paired_delta_ci_high_pp
1,immediate efficacy,70.0,70.0,0.0,0.0,0.0
1,pre-edit output consistency,20.2820042707026,20.278484504669905,-0.0035197660326957703,-0.06358244270086288,0.07461855560541152
2,immediate efficacy,80.0,85.0,5.0,0.0,15.0
2,pre-edit output consistency,19.906046222895384,20.589610021561384,0.6835637986660004,-0.08899809513241053,1.735114290378987
5,immediate efficacy,88.0,90.0,2.0,-6.0,10.0
5,pre-edit output consistency,20.730455685406923,21.396470367908478,0.6660146825015545,-0.06354395765811204,1.7560742609202862
10,immediate efficacy,85.0,91.0,6.0,-3.0,16.0
10,pre-edit output consistency,18.982114288955927,19.405662268400192,0.42354797944426537,-0.03353930916637182,1.2537178159691393
25,immediate efficacy,79.2,86.8,7.6,1.6,13.6
25,pre-edit output consistency,19.86878726631403,20.651800241321325,0.7830129750072956,-0.025771496351808306,1.7715793712995946
50,immediate efficacy,75.4,87.8,12.4,6.2,19.0
50,pre-edit output consistency,20.23464871570468,20.295663680881262,0.061014965176582336,-0.7746034227311611,1.0381298512220383
100,immediate efficacy,69.4,81.5,12.1,7.4,17.9
100,pre-edit output consistency,19.50219100341201,19.793983194977045,0.2917921915650368,-0.3645903617143631,1.2485683523118496
