checkpoint_edits,endpoint,paired_delta,ci_low,ci_high,unit
1,row contrast,0.026293622377774488,0.024909243283067168,0.02734676753677507,dimensionless
1,kernel alignment,0.03693557221787387,0.03404991505333795,0.039362856619143544,dimensionless
2,row contrast,0.043398718698751636,0.04179906523464784,0.04493898676425748,dimensionless
2,kernel alignment,0.06616205093009252,0.06342728912336912,0.06867600313127951,dimensionless
5,row contrast,0.08225887027030174,0.07793852471144615,0.0860569840824324,dimensionless
5,kernel alignment,0.13563855194047633,0.12806397042035014,0.14261847829039234,dimensionless
10,row contrast,0.13902625710678487,0.13590261526423222,0.14207827199310227,dimensionless
10,kernel alignment,0.24484809188748585,0.2381896147493925,0.25167890461393244,dimensionless
25,row contrast,0.259536056544552,0.2559773239369276,0.26276632661152033,dimensionless
25,kernel alignment,0.4763264859534079,0.4684385180065159,0.4834981082451762,dimensionless
50,row contrast,0.3407438853305783,0.3374162259188298,0.3441802761415939,dimensionless
50,kernel alignment,0.6343965333069392,0.6282989764347848,0.6408859434853675,dimensionless
100,row contrast,0.36932729082013144,0.36618854471833595,0.37266282571404646,dimensionless
100,kernel alignment,0.7064130330393386,0.7034073847247615,0.7094106488695681,dimensionless
250,row contrast,0.338066528661823,0.33506165650525155,0.34086436876248694,dimensionless
250,kernel alignment,0.7129789033297182,0.7086801703585444,0.7168239104086533,dimensionless
