cohort,seed,endpoint_type,metric_key,metric_label,unit,lowrank,lowrank_ssr,paired_change_lowrank_ssr_minus_lowrank
primary,12401,normalized trajectory AUC,all_miou,all-mIoU,%,41.522153021722964,42.81826403539652,1.2961110136735527
primary,12401,normalized trajectory AUC,old_miou,old-class mIoU,%,41.8939263797515,42.930729442539736,1.0368030627882376
primary,12401,final endpoint,all_miou,all-class mIoU,%,15.687546781562645,16.077478207058192,0.38993142549554705
primary,12401,final endpoint,old_miou,old-class mIoU,%,17.259958465693657,17.71507261458845,0.4551141488947934
primary,12401,final endpoint,old_boundary_iou,old-class Boundary IoU,%,8.781439589214243,8.374976858816972,-0.406462730397271
primary,12402,normalized trajectory AUC,all_miou,all-mIoU,%,40.221297178791424,41.36809750565572,1.1468003268642946
primary,12402,normalized trajectory AUC,old_miou,old-class mIoU,%,40.56953140837772,41.40594956318644,0.8364181548087188
primary,12402,final endpoint,all_miou,all-class mIoU,%,14.20214115927867,14.853374824382342,0.651233665103673
primary,12402,final endpoint,old_miou,old-class mIoU,%,15.617526887030236,16.346984235829375,0.7294573487991389
primary,12402,final endpoint,old_boundary_iou,old-class Boundary IoU,%,4.9293598146195166,6.8000911448218915,1.870731330202375
primary,12403,normalized trajectory AUC,all_miou,all-mIoU,%,40.184964771215306,40.4660795516602,0.281114780444895
primary,12403,normalized trajectory AUC,old_miou,old-class mIoU,%,39.68522159992884,40.022174770087666,0.33695317015882864
primary,12403,final endpoint,all_miou,all-class mIoU,%,11.370582601483038,11.272698450723018,-0.0978841507600201
primary,12403,final endpoint,old_miou,old-class mIoU,%,12.443494304002115,12.394840263053064,-0.048654040949051236
primary,12403,final endpoint,old_boundary_iou,old-class Boundary IoU,%,4.389129002638057,4.383093622541982,-0.0060353800960752935
primary,12404,normalized trajectory AUC,all_miou,all-mIoU,%,40.05990640757412,41.11584311861542,1.055936711041305
primary,12404,normalized trajectory AUC,old_miou,old-class mIoU,%,40.61423795760012,41.38951192639189,0.7752739687917725
primary,12404,final endpoint,all_miou,all-class mIoU,%,14.571946819575993,13.773367335700728,-0.7985794838752653
primary,12404,final endpoint,old_miou,old-class mIoU,%,16.040341684136056,14.614874633990505,-1.425467050145551
primary,12404,final endpoint,old_boundary_iou,old-class Boundary IoU,%,5.528289210205841,5.678808904554691,0.1505196943488496
primary,12405,normalized trajectory AUC,all_miou,all-mIoU,%,40.139906361415086,41.689066880797064,1.549160519381978
primary,12405,normalized trajectory AUC,old_miou,old-class mIoU,%,40.16974523433324,41.86482259410641,1.6950773597731654
primary,12405,final endpoint,all_miou,all-class mIoU,%,13.799793177803188,15.510869889546031,1.7110767117428427
primary,12405,final endpoint,old_miou,old-class mIoU,%,15.111397457262447,17.082944194455727,1.9715467371932807
primary,12405,final endpoint,old_boundary_iou,old-class Boundary IoU,%,6.722073787213595,6.81558007388827,0.09350628667467564
primary,12406,normalized trajectory AUC,all_miou,all-mIoU,%,41.909979447878364,43.03679618877673,1.126816740898363
primary,12406,normalized trajectory AUC,old_miou,old-class mIoU,%,42.56548730293489,43.47046558644313,0.9049782835082425
primary,12406,final endpoint,all_miou,all-class mIoU,%,18.97749098819243,19.30488324822234,0.3273922600299102
primary,12406,final endpoint,old_miou,old-class mIoU,%,20.902964785273316,21.269954625288083,0.3669898400147673
primary,12406,final endpoint,old_boundary_iou,old-class Boundary IoU,%,8.017031094509756,7.989203034283546,-0.027828060226210205
primary,12407,normalized trajectory AUC,all_miou,all-mIoU,%,41.668661075286,42.67595376981345,1.0072926945274432
primary,12407,normalized trajectory AUC,old_miou,old-class mIoU,%,41.65119953071954,42.49982878933917,0.8486292586196313
primary,12407,final endpoint,all_miou,all-class mIoU,%,14.322523010109043,15.664840931320207,1.3423179212111638
primary,12407,final endpoint,old_miou,old-class mIoU,%,15.732933900101475,16.932893580126624,1.1999596800251489
primary,12407,final endpoint,old_boundary_iou,old-class Boundary IoU,%,6.693296723706636,7.032835084743681,0.3395383610370448
primary,12408,normalized trajectory AUC,all_miou,all-mIoU,%,41.224638768927356,42.22352679254948,0.998888023622122
primary,12408,normalized trajectory AUC,old_miou,old-class mIoU,%,41.01749530216174,41.82576865604613,0.8082733538843883
primary,12408,final endpoint,all_miou,all-class mIoU,%,14.778425039642261,16.015739922677778,1.2373148830355163
primary,12408,final endpoint,old_miou,old-class mIoU,%,15.903734852010073,16.20236314474621,0.29862829273613833
primary,12408,final endpoint,old_boundary_iou,old-class Boundary IoU,%,8.168559333866344,8.275859442024482,0.10730010815813706
primary,12409,normalized trajectory AUC,all_miou,all-mIoU,%,41.54289831847303,42.65385097923498,1.1109526607619529
primary,12409,normalized trajectory AUC,old_miou,old-class mIoU,%,42.00668452930715,43.16241195920924,1.155727429902086
primary,12409,final endpoint,all_miou,all-class mIoU,%,16.9027862982352,18.460468856308715,1.557682558073516
primary,12409,final endpoint,old_miou,old-class mIoU,%,18.617960746348007,20.330217838071626,1.7122570917236182
primary,12409,final endpoint,old_boundary_iou,old-class Boundary IoU,%,6.966099573251526,9.982483062252944,3.0163834890014183
primary,12410,normalized trajectory AUC,all_miou,all-mIoU,%,40.67413559289566,41.811207644347256,1.1370720514515966
primary,12410,normalized trajectory AUC,old_miou,old-class mIoU,%,41.00036596720172,41.97011307121768,0.9697471040159584
primary,12410,final endpoint,all_miou,all-class mIoU,%,17.211713521317996,18.947284071169953,1.735570549851957
primary,12410,final endpoint,old_miou,old-class mIoU,%,18.80474942682872,20.8536950876004,2.048945660771679
primary,12410,final endpoint,old_boundary_iou,old-class Boundary IoU,%,6.27822329632709,7.304468386103519,1.0262450897764293
