rank,seed,control_method,treatment_method,control_aa_percent,treatment_aa_percent,aa_gain_pp,control_af_percent,treatment_af_percent,af_reduction_pp,mapping,epochs_per_task,dataset,model
8,8411,KD+LowRank,KD+LowRank+SSR,79.61195792984512,80.43813874377352,0.8261808139284028,3.2701371397285626,2.24426608050817,1.0258710592203926,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8413,KD+LowRank,KD+LowRank+SSR,79.60897214331382,80.51886561009347,0.9098934667796499,3.0271457203786474,2.1215571381648184,0.905588582213829,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8415,KD+LowRank,KD+LowRank+SSR,79.90136382273309,80.59369511746485,0.6923312947317584,3.1236787891992988,2.3373315930963927,0.786347196102906,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8417,KD+LowRank,KD+LowRank+SSR,79.87177018496013,80.45022886283799,0.5784586778778618,2.9499756558224464,2.237821392104518,0.7121542637179283,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8419,KD+LowRank,KD+LowRank+SSR,80.14608505404252,80.21795115673031,0.07186610268779248,2.7830380462548336,2.562446158382423,0.22059188787241046,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8421,KD+LowRank,KD+LowRank+SSR,79.94974103582625,80.61387698500941,0.6641359491831622,2.5871172321712863,2.024001371153778,0.5631158610175082,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8423,KD+LowRank,KD+LowRank+SSR,79.72536954683787,80.61547062252798,0.8901010756901115,3.00962551151726,2.1285715182712384,0.8810539932460215,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8425,KD+LowRank,KD+LowRank+SSR,79.7737116684373,80.06351134410781,0.28979967567050835,2.741932257344332,2.536193097129805,0.20573916021452687,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8427,KD+LowRank,KD+LowRank+SSR,79.5827331861079,80.1131960959336,0.530462909825701,3.0325463281216827,2.578869831371541,0.45367649675014166,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
8,8429,KD+LowRank,KD+LowRank+SSR,80.05329364920894,80.52684679995905,0.4735531507501065,2.5933953392345774,2.145258368852757,0.44813697038182054,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-8 GELU bottleneck adapter
16,8411,KD+LowRank,KD+LowRank+SSR,79.02245177653677,80.2696073050129,1.247155528476128,3.45856522566795,2.2660463562720414,1.1925188693959088,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8413,KD+LowRank,KD+LowRank+SSR,79.72979108729795,80.29536837510025,0.5655772878022987,3.0940915003958795,2.429346175235097,0.6647453251607827,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8415,KD+LowRank,KD+LowRank+SSR,79.26635568601128,80.42188455368895,1.155528867677674,3.621185385449735,2.28530985261734,1.3358755328323948,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8417,KD+LowRank,KD+LowRank+SSR,79.89184946284342,79.89076349632482,-0.001085966518601822,2.716136158347909,2.6961266576160834,0.020009500731825725,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8419,KD+LowRank,KD+LowRank+SSR,79.19356438514342,80.61941414960474,1.4258497644613186,3.556821043609751,2.1558911891397154,1.4009298544700357,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8421,KD+LowRank,KD+LowRank+SSR,79.45936307262211,80.70412163200449,1.244758559382376,3.198378488250798,1.989865417914383,1.2085130703364149,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8423,KD+LowRank,KD+LowRank+SSR,79.3903371677928,80.47884202162963,1.088504853836838,3.3339772018311145,2.2227678258784764,1.111209375952638,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8425,KD+LowRank,KD+LowRank+SSR,79.3298013775408,80.61275468392664,1.282953306385835,3.076270534328281,2.4275298520794744,0.6487406822488064,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8427,KD+LowRank,KD+LowRank+SSR,80.05860870599136,80.33945903753542,0.2808503315440589,2.7129253601206726,2.289255151735676,0.4236702083849968,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
16,8429,KD+LowRank,KD+LowRank+SSR,79.10256155300384,80.34110191869296,1.2385403656891185,3.3004699188076665,2.216256900652885,1.0842130181547813,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-16 GELU bottleneck adapter
32,8411,KD+LowRank,KD+LowRank+SSR,79.08096840855016,80.79545729609853,1.7144888875483701,3.2330310536631046,2.1646723277966102,1.0683587258664944,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8413,KD+LowRank,KD+LowRank+SSR,79.13784232635041,79.91438974508299,0.7765474187325765,3.113400146658061,2.7786241287896494,0.3347760178684118,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8415,KD+LowRank,KD+LowRank+SSR,78.4786047760916,80.22669606045699,1.7480912843653869,3.6138300857368475,2.022879525189508,1.5909505605473395,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8417,KD+LowRank,KD+LowRank+SSR,78.74877297857326,80.19603894033801,1.4472659617647565,3.535382250775138,2.584671072411738,0.9507111783633997,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8419,KD+LowRank,KD+LowRank+SSR,79.20528148566366,79.95122944161074,0.7459479559470736,3.065812019583746,2.935869146761432,0.12994287282231376,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8421,KD+LowRank,KD+LowRank+SSR,78.61020608236464,80.21490569615749,1.604699613792846,3.6196409715415134,2.5385781862410153,1.0810627853004982,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8423,KD+LowRank,KD+LowRank+SSR,78.47007411803854,80.03120227656127,1.5611281585227346,3.677681516037763,2.21616239663003,1.461519119407733,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8425,KD+LowRank,KD+LowRank+SSR,78.54861417953987,80.37931955232719,1.830705372787321,3.9753796726261417,2.156651345732317,1.8187283268938246,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8427,KD+LowRank,KD+LowRank+SSR,78.8423745058956,79.03769337491902,0.19531886902341,3.6727309207661474,3.432971430492871,0.23975949027327648,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
32,8429,KD+LowRank,KD+LowRank+SSR,79.1261640969008,80.29257191577257,1.1664078188717752,3.1317268417461697,2.6577471467108436,0.4739796950353261,shared cosine,40,CUB-200-2011,frozen ResNet-18 features + rank-32 GELU bottleneck adapter
