block,method_key,method_label,seed,selected_coefficient,aa_percent,af_percent,dataset,rank,adapter,epochs_per_task
KD off,task,LowRank,17331,0.0,87.86625395550838,4.8765740113872305,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17333,0.0,86.5513164447736,6.146711047300819,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17335,0.0,86.95094804545928,6.324605258334232,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17337,0.0,88.11713029251356,4.6032363462409105,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17339,0.0,88.78748562423064,3.936936573701775,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17341,0.0,89.25118681699823,4.14792815224489,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17343,0.0,89.48079582460295,3.5975850872536856,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17345,0.0,88.84803426357158,3.9593099622024077,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17347,0.0,89.62897943928633,3.074942270584226,CUB-200-2011,32,GELU bottleneck,40
KD off,task,LowRank,17349,0.0,86.9204108049786,5.566810566290893,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17331,1.0,87.87643448248743,4.985335981077296,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17333,1.0,88.28482864634314,4.854630796174523,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17335,1.0,90.21497712865558,3.697145519419928,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17337,1.0,87.57582091248891,5.781473311491573,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17339,1.0,89.8635212511923,3.088514165198227,CUB-200-2011,32,GELU bottleneck,40
KD off,ssr,LowRank+SSR,17341,1.0,89.4636628684828,4.247597495097933,CUB-200-2011,32,GELU bottleneck,40
