rank,method,candidate_id,seed,avg_accuracy,avg_forgetting,final_new_accuracy,aa_gain_vs_kd_pp,af_reduction_vs_kd_pp,final_new_gain_vs_kd_pp,result_file
4,kd,baseline,19231,93.69000000000001,1.6421052631578934,95.4,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19231/result.json
4,kd,baseline,19233,92.66,1.7578947368421056,94.0,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19233/result.json
4,kd,baseline,19235,92.78,1.6631578947368417,96.2,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19235/result.json
4,kd,baseline,19237,93.62,1.3368421052631583,96.4,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19237/result.json
4,kd,baseline,19239,92.35,1.8105263157894755,93.0,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19239/result.json
4,kd,baseline,19241,93.53,1.4842105263157874,96.8,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19241/result.json
4,kd,baseline,19243,92.88,1.6315789473684232,93.0,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19243/result.json
4,kd,baseline,19245,93.10999999999999,1.6315789473684226,96.2,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19245/result.json
4,kd,baseline,19247,92.39,2.2526315789473697,96.4,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19247/result.json
4,kd,baseline,19249,93.66,1.2105263157894743,96.2,0.0,0.0,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_baseline/seed_19249/result.json
4,kd_ssr,scale_m0p0625,19231,94.35,0.8526315789473679,95.0,0.6599999999999824,0.7894736842105256,-0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19231/result.json
4,kd_ssr,scale_m0p0625,19233,93.2,1.2736842105263166,93.0,0.5400000000000063,0.484210526315789,-1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19233/result.json
4,kd_ssr,scale_m0p0625,19235,93.57,1.0947368421052637,95.6,0.789999999999992,0.568421052631578,-0.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19235/result.json
4,kd_ssr,scale_m0p0625,19237,94.03999999999999,0.8631578947368417,95.8,0.4199999999999875,0.4736842105263166,-0.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19237/result.json
4,kd_ssr,scale_m0p0625,19239,93.18,0.9578947368421055,93.4,0.8300000000000125,0.8526315789473701,0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19239/result.json
4,kd_ssr,scale_m0p0625,19241,93.97,0.8631578947368425,96.2,0.4399999999999977,0.621052631578945,-0.5999999999999943,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19241/result.json
4,kd_ssr,scale_m0p0625,19243,93.66,0.8842105263157901,94.2,0.7800000000000011,0.7473684210526331,1.2000000000000028,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19243/result.json
4,kd_ssr,scale_m0p0625,19245,93.55,1.1157894736842129,95.2,0.44000000000001194,0.5157894736842097,-1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19245/result.json
4,kd_ssr,scale_m0p0625,19247,93.60999999999999,1.221052631578949,97.6,1.2199999999999847,1.0315789473684207,1.1999999999999886,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19247/result.json
4,kd_ssr,scale_m0p0625,19249,94.1,0.7789473684210525,96.0,0.4399999999999977,0.43157894736842184,-0.20000000000000284,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p0625/seed_19249/result.json
4,kd_ssr,scale_m0p125,19231,94.72000000000001,0.5052631578947373,95.2,1.0300000000000011,1.136842105263156,-0.20000000000000284,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19231/result.json
4,kd_ssr,scale_m0p125,19233,93.61,0.8526315789473693,93.4,0.9500000000000028,0.9052631578947363,-0.5999999999999943,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19233/result.json
4,kd_ssr,scale_m0p125,19235,94.03999999999999,0.6421052631578948,96.2,1.259999999999991,1.021052631578947,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19235/result.json
4,kd_ssr,scale_m0p125,19237,94.27999999999999,0.6631578947368418,95.8,0.6599999999999824,0.6736842105263164,-0.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19237/result.json
4,kd_ssr,scale_m0p125,19239,93.49000000000001,0.6526315789473702,93.0,1.1400000000000148,1.1578947368421053,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19239/result.json
4,kd_ssr,scale_m0p125,19241,94.53,0.4947368421052635,96.8,1.0,0.989473684210524,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19241/result.json
4,kd_ssr,scale_m0p125,19243,93.69,0.8000000000000002,93.0,0.8100000000000023,0.8315789473684231,0.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19243/result.json
4,kd_ssr,scale_m0p125,19245,93.78,0.8842105263157908,95.0,0.6700000000000159,0.7473684210526318,-1.2000000000000028,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19245/result.json
4,kd_ssr,scale_m0p125,19247,94.32,0.6736842105263171,98.6,1.9299999999999926,1.5789473684210527,2.1999999999999886,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19247/result.json
4,kd_ssr,scale_m0p125,19249,94.39000000000001,0.5052631578947351,95.8,0.7300000000000182,0.7052631578947393,-0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p125/seed_19249/result.json
4,kd_ssr,scale_m0p25,19231,94.98,0.284210526315789,95.2,1.289999999999992,1.3578947368421044,-0.20000000000000284,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19231/result.json
4,kd_ssr,scale_m0p25,19233,94.16999999999999,0.43157894736842123,93.0,1.509999999999991,1.3263157894736843,-1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19233/result.json
4,kd_ssr,scale_m0p25,19235,94.17,0.4105263157894765,95.8,1.3900000000000006,1.2526315789473652,-0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19235/result.json
4,kd_ssr,scale_m0p25,19237,94.47,0.5157894736842104,96.0,0.8499999999999943,0.8210526315789479,-0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19237/result.json
4,kd_ssr,scale_m0p25,19239,93.62,0.5052631578947373,93.4,1.2700000000000102,1.3052631578947382,0.4000000000000057,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19239/result.json
4,kd_ssr,scale_m0p25,19241,94.8,0.28421052631578975,97.0,1.269999999999996,1.1999999999999977,0.20000000000000284,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19241/result.json
4,kd_ssr,scale_m0p25,19243,93.85999999999999,0.5894736842105265,94.0,0.9799999999999898,1.0421052631578966,1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19243/result.json
4,kd_ssr,scale_m0p25,19245,94.1,0.6210526315789472,95.4,0.9900000000000091,1.0105263157894755,-0.7999999999999972,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19245/result.json
4,kd_ssr,scale_m0p25,19247,94.54,0.38947368421052436,97.4,2.1500000000000057,1.8631578947368452,1.0,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19247/result.json
4,kd_ssr,scale_m0p25,19249,94.89,0.3052631578947352,95.6,1.230000000000004,0.9052631578947392,-0.6000000000000085,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p25/seed_19249/result.json
4,kd_ssr,scale_m0p5,19231,94.97,0.24210526315789443,95.6,1.279999999999987,1.399999999999999,0.19999999999998863,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19231/result.json
4,kd_ssr,scale_m0p5,19233,94.35999999999999,0.1578947368421045,93.2,1.6999999999999886,1.6000000000000012,-0.7999999999999972,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19233/result.json
4,kd_ssr,scale_m0p5,19235,94.28,0.26315789473684137,94.4,1.5,1.4000000000000004,-1.7999999999999972,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19235/result.json
4,kd_ssr,scale_m0p5,19237,94.79999999999998,0.34736842105263277,95.6,1.1799999999999784,0.9894736842105255,-0.8000000000000114,/unify/ydchen/unidit/bioreg_meeting_20260803_final/results/ssr_cosmos_lrrobust_cifar100_rank4_1node_20260907_r2_cifar100_lowrank_fixedkd_functionalspace/rank_4/robustness/kd_ssr_scale_m0p5/seed_19237/result.json
