seed,metric,unit,favorable_direction,kd,kd_plus_ssr,favorable_paired_change,segmentation_source_sha256,segmentation_cache_sha256,selection_lock_sha256,control_file,treatment_file,control_sha256,treatment_sha256
9201,mIoU,%,higher,70.73046837257935,70.62681729644589,-0.1036510761334597,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9201/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9201/summary.json,b7fbdfd19d6f73102af655b50ce8e518807f4c4159080ad51d482e036f445c3f,6871477d9de61a9117e67e91d4dfc0bb03ce7330ccd08e4d08710dd699873378
9201,Dice,%,higher,82.15766042152025,82.11343986312397,-0.04422055839627603,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9201/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9201/summary.json,b7fbdfd19d6f73102af655b50ce8e518807f4c4159080ad51d482e036f445c3f,6871477d9de61a9117e67e91d4dfc0bb03ce7330ccd08e4d08710dd699873378
9201,IoU forgetting,%,lower,3.019516982120353,3.150177318657958,-0.13066033653760512,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9201/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9201/summary.json,b7fbdfd19d6f73102af655b50ce8e518807f4c4159080ad51d482e036f445c3f,6871477d9de61a9117e67e91d4dfc0bb03ce7330ccd08e4d08710dd699873378
9201,effective rank,dimensionless,higher,173.7218475341797,173.72665405273438,0.0048065185546875,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9201/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9201/summary.json,b7fbdfd19d6f73102af655b50ce8e518807f4c4159080ad51d482e036f445c3f,6871477d9de61a9117e67e91d4dfc0bb03ce7330ccd08e4d08710dd699873378
9201,prototype absolute cosine,dimensionless,lower,0.04964444413781166,0.049641188234090805,3.255903720855713e-06,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9201/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9201/summary.json,b7fbdfd19d6f73102af655b50ce8e518807f4c4159080ad51d482e036f445c3f,6871477d9de61a9117e67e91d4dfc0bb03ce7330ccd08e4d08710dd699873378
9203,mIoU,%,higher,70.65547297525127,70.68106916019083,0.025596184939558952,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9203/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9203/summary.json,dbf55841c04b9ede73a45d07af9d2794e1bb4c016aa07e99763dd54fb71f7386,0ac28273575e33ab395cf5e54bfe2fe5905ebd90e2dad99b0487fb283690949f
9203,Dice,%,higher,82.08859043570688,82.10524102305806,0.016650587351179524,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9203/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9203/summary.json,dbf55841c04b9ede73a45d07af9d2794e1bb4c016aa07e99763dd54fb71f7386,0ac28273575e33ab395cf5e54bfe2fe5905ebd90e2dad99b0487fb283690949f
9203,IoU forgetting,%,lower,2.718118564017088,2.695583923865548,0.022534640151540053,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9203/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9203/summary.json,dbf55841c04b9ede73a45d07af9d2794e1bb4c016aa07e99763dd54fb71f7386,0ac28273575e33ab395cf5e54bfe2fe5905ebd90e2dad99b0487fb283690949f
9203,effective rank,dimensionless,higher,173.72482299804688,173.73178100585938,0.0069580078125,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9203/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9203/summary.json,dbf55841c04b9ede73a45d07af9d2794e1bb4c016aa07e99763dd54fb71f7386,0ac28273575e33ab395cf5e54bfe2fe5905ebd90e2dad99b0487fb283690949f
9203,prototype absolute cosine,dimensionless,lower,0.050009097903966904,0.05000179260969162,7.3052942752838135e-06,dc77f6cffea0cbe2e41d4201115c8f29a6320ecb04fffd2444f51b8066e4b84f,267ed5e5d43647ff246c549af2da5d1ea738b3040a281e95afa9452c1c480ad8,a9b9439e82e931c43b4c4a061a5820be9e2d6f2f6ff8f9633219edc564931d93,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/kd_l0p050_e0p16_i0p45_seed9203/summary.json,source_data/extended_data_20260905/cub_mask_component_10seed/confirmation/biocs_kd_l0p050_e0p16_i0p45_seed9203/summary.json,dbf55841c04b9ede73a45d07af9d2794e1bb4c016aa07e99763dd54fb71f7386,0ac28273575e33ab395cf5e54bfe2fe5905ebd90e2dad99b0487fb283690949f
