edit_count,family,metric,baseline_mean,ssr_mean,delta_mean,delta_ci95_low,delta_ci95_high
1,performance,history_efficacy,90.0,90.0,0.0,0.0,0.0
1,performance,pre_edit_output_consistency,19.454283881932497,19.46021055802703,0.005926676094532013,-0.009968517813831568,0.022839126642793407
1,performance,immediate_efficacy,90.0,90.0,0.0,0.0,0.0
1,performance,immediate_rephrase,60.0,60.0,0.0,0.0,0.0
1,performance,immediate_portability,0.0,0.0,0.0,0.0,0.0
1,performance,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0
1,geometry,effective_rank,6.212677579479558,6.21274189938392,6.431990436137625e-05,-6.739234817893181e-05,0.00019954152671359135
1,geometry,effective_rank_fraction,0.7765846974349447,0.77659273742299,8.039988045172031e-06,-8.36769384998659e-06,2.5237305422438902e-05
1,geometry,near_row_cosine,-0.0031683261550532345,0.024193792235382715,0.027362118390435952,0.026360734977898235,0.028286319665361603
1,geometry,surround_row_cosine,0.0030188854938744828,-0.00234831282371033,-0.005367198317584812,-0.005557813153341483,-0.00516263447016164
1,geometry,center_surround_contrast,-0.006187211590856481,0.026542105116303512,0.03272931670715999,0.031508615982732274,0.033844835616699646
1,geometry,kernel_alignment,-0.0059051970270177535,0.04089433834309212,0.046799535370109877,0.043707571094685295,0.04968160439602506
2,performance,history_efficacy,50.0,45.0,-5.0,-15.0,0.0
2,performance,pre_edit_output_consistency,18.58910769224167,18.86259265244007,0.2734849601984024,-0.08340969868004322,0.8455828912556169
2,performance,immediate_efficacy,95.0,90.0,-5.0,-15.0,0.0
2,performance,immediate_rephrase,55.0,55.0,0.0,-20.0,20.0
2,performance,immediate_portability,5.0,10.0,5.0,0.0,15.0
2,performance,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0
2,geometry,effective_rank,6.238748477080039,6.231690146348305,-0.007058330731732454,-0.05474814175495099,0.047128729069871665
2,geometry,effective_rank_fraction,0.7798435596350048,0.7789612682935382,-0.0008822913414665567,-0.006986689328082973,0.005884732690506778
2,geometry,near_row_cosine,-0.002303631427519548,0.04127880316762977,0.043582434595149315,0.04160055188337797,0.04565806495464188
2,geometry,surround_row_cosine,0.002813692253169466,-0.005713376832923294,-0.00852706908609276,-0.009901658005219603,-0.007249677952798115
2,geometry,center_surround_contrast,-0.005117323721632212,0.046992179936101566,0.05210950365773377,0.049115736452111904,0.05523560592635866
2,geometry,kernel_alignment,-0.004601913154975332,0.0735962121859042,0.07819812534087953,0.07301607304375392,0.0834599222773019
5,performance,history_efficacy,20.0,20.0,0.0,0.0,0.0
5,performance,pre_edit_output_consistency,18.557017892599106,18.711742218583822,0.15472432598471642,-0.29355023289099336,0.6915339268743992
5,performance,immediate_efficacy,94.0,92.0,-2.0,-6.0,0.0
5,performance,immediate_rephrase,54.0,58.0,4.0,-8.0,16.0
5,performance,immediate_portability,10.0,14.0,4.0,0.0,10.0
5,performance,immediate_locality_target_consistency,0.0,0.0,0.0,0.0,0.0
5,geometry,effective_rank,6.4014828354120255,6.306166304009301,-0.095316531402724,-0.2075516556150148,0.009121037373053326
5,geometry,effective_rank_fraction,0.8001853544265032,0.7882707880011626,-0.0119145664253405,-0.02582411367812061,0.0009298080595077274
5,geometry,near_row_cosine,-8.247858866745612e-05,0.08511772317038516,0.08520020175905262,0.08193356596893799,0.08886241393917034
5,geometry,surround_row_cosine,0.00236291512004243,-0.010952481020446011,-0.013315396140488439,-0.0148981331426846,-0.012041496699045463
5,geometry,center_surround_contrast,-0.002445393743151466,0.096070204082311,0.09851559782546246,0.09456680048459021,0.10310901695924517
5,geometry,kernel_alignment,-0.0010889957585935206,0.15761772421517112,0.1587067199737646,0.15069567489967003,0.16747931343219222
10,performance,history_efficacy,11.0,11.0,0.0,-3.0,3.0
10,performance,pre_edit_output_consistency,18.21345591917634,18.2318770699203,0.018421150743961334,-0.08514036983251572,0.13205195451155305
10,performance,immediate_efficacy,97.0,96.0,-1.0,-3.0,0.0
10,performance,immediate_rephrase,65.0,64.0,-1.0,-11.0,10.0
10,performance,immediate_portability,14.0,18.0,4.0,-1.0,9.0
10,performance,immediate_locality_target_consistency,1.5,2.0,0.5,0.0,1.5
10,geometry,effective_rank,6.630657086202076,6.552224822023085,-0.07843226417899132,-0.16590207775522575,0.015006738776074922
10,geometry,effective_rank_fraction,0.8288321357752595,0.8190281027528856,-0.009804033022373915,-0.020664111285337405,0.0018734905433042636
10,geometry,near_row_cosine,-0.0005598456273154236,0.1487083753537653,0.1492682209810807,0.14533960776338714,0.15259454294736055
10,geometry,surround_row_cosine,0.002090262709927515,-0.012358200454145518,-0.014448463164073036,-0.015920482243073644,-0.01291565109765954
10,geometry,center_surround_contrast,-0.0026501083310514722,0.16106657578244007,0.16371668411349155,0.15892923595158728,0.16791568683182959
10,geometry,kernel_alignment,-0.0019174105250678104,0.28198896684999847,0.28390637737506624,0.2747864651597086,0.29279996670809205
25,performance,history_efficacy,4.4,4.0,-0.4,-1.2,0.0
25,performance,pre_edit_output_consistency,18.33537070080638,18.82858945056796,0.4932187497615814,-0.20761439949274063,1.6886008228175342
25,performance,immediate_efficacy,96.4,95.2,-1.2,-5.2,2.4
25,performance,immediate_rephrase,65.2,61.6,-3.6,-12.399999999999999,3.9999999999999987
25,performance,immediate_portability,12.4,12.8,0.4,-2.8,3.2
25,performance,immediate_locality_target_consistency,1.0,1.2,0.2,0.0,0.6
25,geometry,effective_rank,6.859262549132109,6.861090249993971,0.0018277008618627021,-0.06592950215962319,0.07235389267227485
25,geometry,effective_rank_fraction,0.8574078186415136,0.8576362812492464,0.00022846260773283776,-0.00828787794170371,0.0089057770037159
25,geometry,near_row_cosine,-0.0008156847006148384,0.2900583607743361,0.29087404547495094,0.2811967058028345,0.3006717045202145
25,geometry,surround_row_cosine,0.0034241775231326496,0.011432883890109278,0.008008706366976627,0.006246261514933618,0.009935734403154591
25,geometry,center_surround_contrast,-0.004239862221428277,0.27862547700559454,0.28286533922702284,0.27423489461652284,0.29133440976101344
25,geometry,kernel_alignment,-0.0031128493228038683,0.5179804506046433,0.521093299927447,0.5087798345996641,0.5328769194882321
50,performance,history_efficacy,2.2,2.2,0.0,0.0,0.0
50,performance,pre_edit_output_consistency,21.121633015573025,20.38331277668476,-0.7383202388882637,-2.037230044603348,0.03876603487879038
50,performance,immediate_efficacy,94.4,92.2,-2.2,-7.2,2.4
50,performance,immediate_rephrase,62.0,54.0,-7.999999999999998,-15.6,-0.8
50,performance,immediate_portability,13.6,13.0,-0.6000000000000002,-3.4,1.9999999999999996
50,performance,immediate_locality_target_consistency,0.6,0.7,0.1,-0.2,0.4
50,geometry,effective_rank,6.9394428752362725,7.020412879011461,0.08097000377518784,0.023681894311947484,0.13317849154584105
50,geometry,effective_rank_fraction,0.8674303594045341,0.8775516098764327,0.01012125047189848,0.0027942918106314703,0.01671208707865191
50,geometry,near_row_cosine,-0.00037442493089981464,0.4294958286253469,0.4298702535562467,0.4248751308389499,0.4339069157614923
50,geometry,surround_row_cosine,0.003134686437560065,0.07771950990177824,0.07458482346421817,0.07207932992505155,0.07680046471804246
50,geometry,center_surround_contrast,-0.0035091113329534505,0.35177631868448644,0.3552854300174399,0.35187546910012835,0.3587027908379936
50,geometry,kernel_alignment,-0.002087172318134175,0.6637337028448071,0.6658208751629412,0.6583689764721397,0.6720185125125947
100,performance,history_efficacy,0.7,0.8,0.1,0.0,0.3
100,performance,pre_edit_output_consistency,20.761072020977736,19.90267029032111,-0.8584017306566238,-1.6731882123276591,-0.16985015617683544
100,performance,immediate_efficacy,85.7,87.9,2.2,-3.0,7.4
100,performance,immediate_rephrase,54.7,49.1,-5.600000000000001,-11.600000000000003,-0.09999999999999928
100,performance,immediate_portability,12.4,12.1,-0.29999999999999993,-1.6999999999999997,1.1
100,performance,immediate_locality_target_consistency,0.9,0.65,-0.25,-0.65,0.15
100,geometry,effective_rank,7.017455952295235,7.10279858623232,0.08534263393708637,0.016953016620661624,0.13953555902732273
