family,metric,n,mean,ci95_low,ci95_high
center_component,delta_aa,20,0.02381482479908641,-0.01359333137323784,0.06122298097141066
center_component,forgetting_reduction,20,0.039485011223065226,0.001261315644003759,0.07770870680212669
center_component,top1_confuser_margin_gain,20,-0.004215392853613576,-0.004704978047896052,-0.0037258076593311
center_component,semantic_knn_recall_delta,20,-0.007400000000000006,-0.009704828717363948,-0.005095171282636065
center_component,locality_ratio,20,0.6751278918795198,0.6674486783701628,0.6828071053888769
cosine_orthogonality,delta_aa,20,-0.04692887096724263,-0.11298615828286539,0.019128416348380126
cosine_orthogonality,forgetting_reduction,20,-0.013916743922018582,-0.0864530869885126,0.05861959914447544
cosine_orthogonality,top1_confuser_margin_gain,20,-0.003956260802602607,-0.004482228093332106,-0.0034302935118731086
cosine_orthogonality,semantic_knn_recall_delta,20,-0.015750000000000014,-0.0189598922090123,-0.01254010779098773
cosine_orthogonality,locality_ratio,20,1.04914565879388,1.0415863533320744,1.0567049642556858
prototype_decorrelation,delta_aa,20,-0.03674209879174484,-0.09215790661050315,0.01867370902701347
prototype_decorrelation,forgetting_reduction,20,-0.013449525179168286,-0.07712289162319697,0.050223841264860396
prototype_decorrelation,top1_confuser_margin_gain,20,-0.006069514819959298,-0.0064624975195355355,-0.005676532120383061
prototype_decorrelation,semantic_knn_recall_delta,20,-0.01075000000000001,-0.013541100332255907,-0.007958899667744112
prototype_decorrelation,locality_ratio,20,1.0827961403749726,1.0727478091991614,1.092844471550784
spectral,delta_aa,20,0.003657479487699078,-0.007856000891320127,0.015170959866718285
spectral,forgetting_reduction,20,0.006558466229701998,-0.0046383586352718754,0.01775529109467587
spectral,top1_confuser_margin_gain,20,-0.001056735712612855,-0.0010830226756446007,-0.0010304487495811094
spectral,semantic_knn_recall_delta,20,0.0009000000000000008,0.0003138745849324356,0.001486125415067566
spectral,locality_ratio,20,0.9373511200592672,0.9304334009097697,0.9442688392087648
ssr,delta_aa,20,0.04233769166390289,0.0004369945526596433,0.08423838877514614
ssr,forgetting_reduction,20,0.052460046698448504,0.004979035953573026,0.09994105744332399
ssr,top1_confuser_margin_gain,20,0.006494347278363466,0.006132803781001831,0.006855890775725101
ssr,semantic_knn_recall_delta,20,-0.0005500000000000033,-0.002497365028964273,0.0013973650289642661
ssr,locality_ratio,20,0.38273932523926535,0.37809290025943426,0.38738575021909644
surround_component,delta_aa,20,-0.03733810565747646,-0.07365810589159019,-0.001018105423362732
surround_component,forgetting_reduction,20,-0.028141186994827216,-0.06683995965536677,0.01055758566571233
surround_component,top1_confuser_margin_gain,20,0.0025224661971006033,0.0022429170254068473,0.0028020153687943593
surround_component,semantic_knn_recall_delta,20,0.00275,0.0006687132668683859,0.004831286733131613
surround_component,locality_ratio,20,0.6418550000857091,0.6371526752683911,0.646557324903027
