cohort,seed,arm,stage,metric,value,unit
cohort 1,12401,lowrank,1,all_miou,72.58838945401781,percent
cohort 1,12401,lowrank,1,new_miou,32.646930691376014,percent
cohort 1,12401,lowrank,1,old_boundary_iou,36.02310362646926,percent
cohort 1,12401,lowrank,1,old_boundary_margin,3.220588207244873,logit
cohort 1,12401,lowrank,1,old_miou,74.83418629051131,percent
cohort 1,12401,lowrank,10,all_miou,15.687546781562645,percent
cohort 1,12401,lowrank,10,new_miou,1.499271564635994,percent
cohort 1,12401,lowrank,10,old_boundary_iou,8.781439589214243,percent
cohort 1,12401,lowrank,10,old_boundary_margin,3.58530855178833,logit
cohort 1,12401,lowrank,10,old_miou,17.259958465693657,percent
cohort 1,12401,lowrank,2,all_miou,66.91317351065616,percent
cohort 1,12401,lowrank,2,new_miou,64.83729646107561,percent
cohort 1,12401,lowrank,2,old_boundary_iou,35.20677073654182,percent
cohort 1,12401,lowrank,2,old_boundary_margin,3.1359877586364746,logit
cohort 1,12401,lowrank,2,old_miou,65.975949590097,percent
cohort 1,12401,lowrank,3,all_miou,53.5258855020191,percent
cohort 1,12401,lowrank,3,new_miou,23.832292488457682,percent
cohort 1,12401,lowrank,3,old_boundary_iou,29.01229516597405,percent
cohort 1,12401,lowrank,3,old_boundary_margin,3.0235207080841064,logit
cohort 1,12401,lowrank,3,old_miou,54.07949715380672,percent
cohort 1,12401,lowrank,4,all_miou,46.328001999279714,percent
cohort 1,12401,lowrank,4,new_miou,24.751655280025542,percent
cohort 1,12401,lowrank,4,old_boundary_iou,26.231060795671763,percent
cohort 1,12401,lowrank,4,old_boundary_margin,2.027663230895996,logit
cohort 1,12401,lowrank,4,old_miou,46.25706198296832,percent
cohort 1,12401,lowrank,5,all_miou,43.8823701380319,percent
cohort 1,12401,lowrank,5,new_miou,68.15694732389275,percent
cohort 1,12401,lowrank,5,old_boundary_iou,22.53551535905679,percent
cohort 1,12401,lowrank,5,old_boundary_margin,1.712242841720581,logit
cohort 1,12401,lowrank,5,old_miou,40.67330745237723,percent
cohort 1,12401,lowrank,6,all_miou,37.45818383399947,percent
cohort 1,12401,lowrank,6,new_miou,11.458409529005083,percent
cohort 1,12401,lowrank,6,old_boundary_iou,21.647146124153917,percent
cohort 1,12401,lowrank,6,old_boundary_margin,7.464524269104004,logit
cohort 1,12401,lowrank,6,old_miou,38.10163221213198,percent
cohort 1,12401,lowrank,7,all_miou,33.98037700661991,percent
cohort 1,12401,lowrank,7,new_miou,11.944200974579456,percent
cohort 1,12401,lowrank,7,old_boundary_iou,18.374030072782332,percent
cohort 1,12401,lowrank,7,old_boundary_margin,5.169872283935547,logit
cohort 1,12401,lowrank,7,old_miou,34.70573598155849,percent
cohort 1,12401,lowrank,8,all_miou,27.86533781955421,percent
cohort 1,12401,lowrank,8,new_miou,4.278864981272004,percent
cohort 1,12401,lowrank,8,old_boundary_iou,15.342975011194257,percent
cohort 1,12401,lowrank,8,old_boundary_margin,3.183068037033081,logit
cohort 1,12401,lowrank,8,old_miou,29.76085007965093,percent
cohort 1,12401,lowrank,9,all_miou,16.99226417148863,percent
cohort 1,12401,lowrank,9,new_miou,12.587139126605559,percent
cohort 1,12401,lowrank,9,old_boundary_iou,10.42695197183512,percent
cohort 1,12401,lowrank,9,old_boundary_margin,2.2018134593963623,logit
cohort 1,12401,lowrank,9,old_miou,17.291084588719308,percent
cohort 1,12401,lowrank_ssr,1,all_miou,72.58629285453783,percent
