cohort,phase,metric,n,mean,ci95_low,ci95_high,unit
cohort 1,final,all_miou,10,0.8056056339908841,0.2698848796050629,1.2917846450304171,pp
cohort 1,final,new_miou,10,0.07078878779898917,-0.18549908007490673,0.34960521598223687,pp
cohort 1,final,old_boundary_iou,10,0.6163898188479374,0.06659135241374348,1.3062424607801482,pp
cohort 1,final,old_boundary_margin,10,0.010441732406616212,-0.16963419914245606,0.20036687850952148,logit
cohort 1,final,old_miou,10,0.7308777709063965,0.06462421958129322,1.32733853749044,pp
cohort 1,trajectory_auc,all_miou,10,1.071014552266748,0.8612261903413351,1.2376884204373526,pp
cohort 1,trajectory_auc,old_boundary_iou,10,0.18246985154550602,-0.22519455280567954,0.5954055199021815,pp
cohort 1,trajectory_auc,old_boundary_margin,10,0.10905948162078857,0.08711325883865356,0.13158822536468506,logit
cohort 1,trajectory_auc,old_miou,10,0.9367881146251036,0.7456136425380656,1.1493195666285045,pp
replication,final,all_miou,10,0.2476351358691732,-0.6541298509202769,0.987817036536468,pp
replication,final,new_miou,10,0.025888080174215466,-0.35238314986279634,0.39212129627205555,pp
replication,final,old_boundary_iou,10,0.9052534820013421,0.3076737829078726,1.5536126890148685,pp
replication,final,old_boundary_margin,10,-0.14113340377807618,-0.3747365474700928,0.11153836250305176,logit
replication,final,old_miou,10,0.2597469738755521,-0.7328597573300846,1.0561782429578572,pp
replication,trajectory_auc,all_miou,10,0.9259998240875608,0.49424982325632205,1.2998374988886003,pp
replication,trajectory_auc,old_boundary_iou,10,0.5933712611341629,0.2882139378875606,0.9263871555745755,pp
replication,trajectory_auc,old_boundary_margin,10,0.0760627233982086,0.0342946195602417,0.11520621061325072,logit
replication,trajectory_auc,old_miou,10,0.84827772372369,0.3884742001322525,1.2209258542144987,pp
