cohort,seed,metric,control,treatment,paired_delta,unit
cohort 1,12401,all_miou,15.687546781562645,16.077478207058192,0.38993142549554605,pp
cohort 1,12401,old_miou,17.259958465693657,17.71507261458845,0.45511414889479185,pp
cohort 1,12401,new_miou,1.499271564635994,1.0406626710414595,-0.4586088935945344,pp
cohort 1,12401,old_boundary_iou,8.781439589214243,8.374976858816972,-0.40646273039727093,pp
cohort 1,12401,old_boundary_margin,3.58530855178833,4.171356201171875,0.5860476493835449,logit
cohort 1,12402,all_miou,14.20214115927867,14.853374824382342,0.6512336651036732,pp
cohort 1,12402,old_miou,15.617526887030236,16.346984235829375,0.7294573487991396,pp
cohort 1,12402,new_miou,1.5119534912776122,1.328170831271003,-0.1837826600066093,pp
cohort 1,12402,old_boundary_iou,4.9293598146195166,6.8000911448218915,1.870731330202375,pp
cohort 1,12402,old_boundary_margin,4.783159255981445,4.919335842132568,0.13617658615112305,logit
cohort 1,12403,all_miou,11.370582601483038,11.272698450723018,-0.0978841507600206,pp
cohort 1,12403,old_miou,12.443494304002115,12.394840263053064,-0.04865404094905046,pp
cohort 1,12403,new_miou,1.674609599956678,1.2247024671751514,-0.4499071327815265,pp
cohort 1,12403,old_boundary_iou,4.389129002638057,4.383093622541982,-0.006035380096074822,pp
cohort 1,12403,old_boundary_margin,4.794686317443848,4.831050872802734,0.03636455535888672,logit
cohort 1,12404,all_miou,14.571946819575993,13.773367335700728,-0.7985794838752641,pp
cohort 1,12404,old_miou,16.040341684136056,14.614874633990505,-1.4254670501455513,pp
cohort 1,12404,new_miou,1.244391212510753,1.8961359223242515,0.6517447098134985,pp
cohort 1,12404,old_boundary_iou,5.528289210205841,5.678808904554691,0.1505196943488496,pp
cohort 1,12404,old_boundary_margin,4.620446681976318,4.916645526885986,0.29619884490966797,logit
cohort 1,12405,all_miou,13.799793177803188,15.510869889546031,1.7110767117428427,pp
cohort 1,12405,old_miou,15.111397457262447,17.082944194455727,1.9715467371932833,pp
cohort 1,12405,new_miou,1.0080203525974198,1.1523279858077988,0.14430763321037887,pp
cohort 1,12405,old_boundary_iou,6.722073787213595,6.81558007388827,0.09350628667467581,pp
cohort 1,12405,old_boundary_margin,5.240985870361328,5.473282814025879,0.23229694366455078,logit
cohort 1,12406,all_miou,18.97749098819243,19.30488324822234,0.32739226002991284,pp
cohort 1,12406,old_miou,20.902964785273316,21.269954625288083,0.36698984001476975,pp
cohort 1,12406,new_miou,1.3709798318479303,1.2734103321955217,-0.09756949965240846,pp
cohort 1,12406,old_boundary_iou,8.017031094509756,7.989203034283546,-0.027828060226209317,pp
cohort 1,12406,old_boundary_margin,4.923118591308594,4.863919734954834,-0.059198856353759766,logit
cohort 1,12407,all_miou,14.322523010109043,15.664840931320207,1.3423179212111642,pp
cohort 1,12407,old_miou,15.732933900101475,16.932893580126624,1.1999596800251477,pp
cohort 1,12407,new_miou,1.2285932264566104,1.5490833966415254,0.32049017018491494,pp
cohort 1,12407,old_boundary_iou,6.693296723706636,7.032835084743681,0.33953836103704504,pp
cohort 1,12407,old_boundary_margin,4.856602668762207,4.570514678955078,-0.2860879898071289,logit
cohort 1,12408,all_miou,14.778425039642261,16.015739922677778,1.2373148830355145,pp
cohort 1,12408,old_miou,15.903734852010073,16.20236314474621,0.2986282927361389,pp
cohort 1,12408,new_miou,1.137290154577159,2.0289090218338375,0.8916188672566785,pp
cohort 1,12408,old_boundary_iou,8.168559333866344,8.275859442024482,0.10730010815813706,pp
cohort 1,12408,old_boundary_margin,5.852133274078369,5.4402174949646,-0.41191577911376953,logit
cohort 1,12409,all_miou,16.9027862982352,18.460468856308715,1.557682558073517,pp
cohort 1,12409,old_miou,18.617960746348007,20.330217838071626,1.712257091723618,pp
cohort 1,12409,new_miou,1.2172580823269974,1.3954705322561383,0.17821244992914081,pp
cohort 1,12409,old_boundary_iou,6.966099573251526,9.982483062252944,3.0163834890014187,pp
cohort 1,12409,old_boundary_margin,5.360335826873779,5.014523983001709,-0.3458118438720703,logit
cohort 1,12410,all_miou,17.211713521317996,18.947284071169953,1.7355705498519558,pp
cohort 1,12410,old_miou,18.80474942682872,20.8536950876004,2.048945660771678,pp
cohort 1,12410,new_miou,1.8787618403123658,1.5901440739427244,-0.2886177663696414,pp
cohort 1,12410,old_boundary_iou,6.27822329632709,7.304468386103519,1.0262450897764286,pp
cohort 1,12410,old_boundary_margin,5.05204963684082,4.9723968505859375,-0.07965278625488281,logit
replication,13401,all_miou,15.21145851896507,15.910877756174436,0.6994192372093644,pp
replication,13401,old_miou,16.74772847758415,17.507230920278655,0.7595024426945041,pp
replication,13401,new_miou,1.219908998601968,1.0477549967160114,-0.17215400188595656,pp
replication,13401,old_boundary_iou,6.706353955241284,9.52513933829841,2.8187853830571266,pp
replication,13401,old_boundary_margin,5.435485363006592,5.028356552124023,-0.40712881088256836,logit
replication,13402,all_miou,13.476154646738228,13.675589688038542,0.19943504130031375,pp
replication,13402,old_miou,14.832402932335375,15.052354745245191,0.21995181290981602,pp
replication,13402,new_miou,1.183591867130656,1.192643289150791,0.009051422020135008,pp
replication,13402,old_boundary_iou,5.041118987723649,5.3882753466989195,0.34715635897527086,pp
replication,13402,old_boundary_margin,5.3613200187683105,5.095654010772705,-0.26566600799560547,logit
replication,13403,all_miou,14.31549890000396,11.268061967615555,-3.047436932388403,pp
replication,13403,old_miou,15.758081875160201,12.389711208937863,-3.3683706662223383,pp
replication,13403,new_miou,1.2219212720394093,1.2247883501072847,0.002867078067875402,pp
replication,13403,old_boundary_iou,3.865746754935331,4.27111637580955,0.40536962087421924,pp
replication,13403,old_boundary_margin,4.207075119018555,4.868681907653809,0.6616067886352539,logit
replication,13404,all_miou,11.923083534867605,12.599454508750346,0.6763709738827423,pp
replication,13404,old_miou,13.121708418889241,13.85022346139149,0.728515042502248,pp
replication,13404,new_miou,1.0717849249524483,1.4229774365399614,0.35119251158751313,pp
replication,13404,old_boundary_iou,5.077266705155989,5.871739290362783,0.7944725852067936,pp
replication,13404,old_boundary_margin,4.5692009925842285,4.522830963134766,-0.04637002944946289,logit
replication,13405,all_miou,10.601159292711241,11.940624384379692,1.33946509166845,pp
replication,13405,old_miou,11.439983767999006,13.197532214314398,1.7575484463153908,pp
replication,13405,new_miou,1.2542773202326065,0.0,-1.2542773202326065,pp
replication,13405,old_boundary_iou,5.972281786179847,5.500360312279082,-0.4719214739007646,pp
replication,13405,old_boundary_margin,5.464062213897705,4.984829902648926,-0.4792323112487793,logit
replication,13406,all_miou,15.674378939465598,16.417959250907053,0.7435803114414552,pp
replication,13406,old_miou,17.251259511269932,18.054944086697517,0.8036845754275851,pp
replication,13406,new_miou,1.388027014648816,1.7332066217952482,0.34517960714643225,pp
replication,13406,old_boundary_iou,5.762246699902546,6.617198138078387,0.8549514381758411,pp
replication,13406,old_boundary_margin,5.569128036499023,5.971063137054443,0.4019351005554199,logit
replication,13407,all_miou,13.7579950056598,15.764127413592025,2.0061324079322236,pp
replication,13407,old_miou,14.97069084783391,16.81018572428937,1.8394948764554582,pp
replication,13407,new_miou,1.8062845224883675,3.0219372117539076,1.2156526892655402,pp
replication,13407,old_boundary_iou,5.779511899262959,6.683926667608307,0.9044147683453484,pp
replication,13407,old_boundary_margin,6.042590618133545,5.315633773803711,-0.726956844329834,logit
replication,13408,all_miou,14.148608383930384,14.990682250110513,0.8420738661801291,pp
replication,13408,old_miou,15.570448560153041,16.504346466844964,0.9338979066919245,pp
replication,13408,new_miou,1.2822534196302005,1.2217443822664174,-0.060509037363782985,pp
replication,13408,old_boundary_iou,6.189050173773634,7.835000042198861,1.6459498684252276,pp
replication,13408,old_boundary_margin,5.202423572540283,4.857029438018799,-0.3453941345214844,logit
replication,13409,all_miou,12.567261472611523,11.415546447549918,-1.151715025061606,pp
replication,13409,old_miou,13.822885879461799,12.571937903389479,-1.2509479760723197,pp
replication,13409,new_miou,1.2776592150677992,0.859655234148169,-0.4180039809196302,pp
replication,13409,old_boundary_iou,4.527491276646952,4.091328406038229,-0.43616287060872366,pp
replication,13409,old_boundary_margin,5.962224006652832,5.9937849044799805,0.03156089782714844,logit
replication,13410,all_miou,13.525664081601601,13.694690468128664,0.16902638652706303,pp
replication,13410,old_miou,14.876325909502155,15.050519187555409,0.1741932780532529,pp
replication,13410,new_miou,1.3887534330926992,1.628635267149334,0.239881834056635,pp
replication,13410,old_boundary_iou,3.8581941137228744,6.047713255185956,2.189519141463081,pp
replication,13410,old_boundary_margin,6.142076015472412,5.9063873291015625,-0.2356886863708496,logit
