cohort,stage,metric,n,mean,ci95_low,ci95_high,unit
cohort 1,1,all_miou,10,0.0021056301533628474,-0.008938971486904812,0.01703938849630937,pp
cohort 1,1,new_miou,10,-0.003421331801202187,-0.021923901118161004,0.01787364850730111,pp
cohort 1,1,old_boundary_iou,10,-0.06524475023563348,-0.18669589069191417,0.01737297907507096,pp
cohort 1,1,old_boundary_margin,10,-0.00018033981323242187,-0.003347969055175781,0.0031398534774780273,logit
cohort 1,1,old_miou,10,0.002819795083385257,-0.010943413100188426,0.020728799253826313,pp
cohort 1,2,all_miou,10,-1.1961906051768467,-1.4029657988768285,-1.0132731563268094,pp
cohort 1,2,new_miou,10,-4.144706831250835,-4.913455136403512,-3.297905772382148,pp
cohort 1,2,old_boundary_iou,10,-0.39690914963897705,-0.7835983460077017,-0.01901522455369009,pp
cohort 1,2,old_boundary_margin,10,-0.25408909320831297,-0.28761968612670896,-0.22471845149993896,logit
cohort 1,2,old_miou,10,-0.7194761296923469,-0.9176653138085555,-0.5641281479741567,pp
cohort 1,3,all_miou,10,1.4395311978223735,1.058152440386908,1.8174569817875852,pp
cohort 1,3,new_miou,10,1.4284791647848303,0.6829889745860238,2.1061775316930675,pp
cohort 1,3,old_boundary_iou,10,-1.2406552216837978,-2.081349855668891,-0.5148507048844686,pp
cohort 1,3,old_boundary_margin,10,0.6725859403610229,0.5757156372070312,0.7698969364166259,logit
cohort 1,3,old_miou,10,1.3139062389259015,0.8641586266591894,1.7599137542664622,pp
cohort 1,4,all_miou,10,2.188714728664353,1.48342914624089,2.8620083156874836,pp
cohort 1,4,new_miou,10,2.710283592316228,1.5276247263487526,3.844165757025756,pp
cohort 1,4,old_boundary_iou,10,-0.02517727440636885,-1.35691841104467,1.159088976438293,pp
cohort 1,4,old_boundary_margin,10,0.22652848958969116,0.16934217214584352,0.2802298545837402,logit
cohort 1,4,old_miou,10,1.9868907172873829,1.3008215066048567,2.656835289508828,pp
cohort 1,5,all_miou,10,1.8971479973067178,1.4578726253900176,2.302657042696894,pp
cohort 1,5,new_miou,10,-0.2453135016489039,-0.8270749511732978,0.3412835693943461,pp
cohort 1,5,old_boundary_iou,10,0.6788239213202344,-0.17048381362645942,1.5403702112238085,pp
cohort 1,5,old_boundary_margin,10,0.09079667329788207,0.0320888876914978,0.14005918502807618,logit
cohort 1,5,old_miou,10,1.8436375351328784,1.3902441489794164,2.2828826190362728,pp
cohort 1,6,all_miou,10,2.1710876848319645,1.7561112622337542,2.6201218437495224,pp
cohort 1,6,new_miou,10,4.873069477697048,3.7959027738946367,5.940541066989715,pp
cohort 1,6,old_boundary_iou,10,0.7744836286854329,0.14912836546322084,1.5058677865044043,pp
cohort 1,6,old_boundary_margin,10,0.14614639282226563,0.07305741310119629,0.21290960311889648,logit
cohort 1,6,old_miou,10,1.7120310736141575,1.3225131425392338,2.1611046798805855,pp
cohort 1,7,all_miou,10,1.220790084777588,0.691997337456724,1.7630253670704799,pp
cohort 1,7,new_miou,10,1.0564790444959913,0.5037889147445174,1.6349049804484448,pp
cohort 1,7,old_boundary_iou,10,0.8706342348523013,0.024121311985970117,1.7411917676185378,pp
cohort 1,7,old_boundary_margin,10,0.1809216022491455,0.08296136856079102,0.27619152069091796,logit
cohort 1,7,old_miou,10,0.910762264919277,0.3458811922950211,1.4923343838976044,pp
cohort 1,8,all_miou,10,1.1787447692286308,0.6721135507978249,1.6464073872209168,pp
cohort 1,8,new_miou,10,0.7874969062158578,-0.011314284860868273,1.474191083746748,pp
cohort 1,8,old_boundary_iou,10,0.2584345517158976,-0.2743150695137885,0.7425086658078773,pp
cohort 1,8,old_boundary_margin,10,0.026897597312927245,-0.048235201835632326,0.08691282272338867,logit
cohort 1,8,old_miou,10,0.909863200121137,0.5942520198259083,1.2140867948667788,pp
cohort 1,9,all_miou,10,1.0026084010684504,0.3609565341577939,1.586143602497604,pp
cohort 1,9,new_miou,10,-0.1308152935066928,-0.4187779807013778,0.21339328707117394,pp
cohort 1,9,old_boundary_iou,10,0.353918755998034,-0.27296896146955807,0.9605270014107831,pp
cohort 1,9,old_boundary_margin,10,-0.009454178810119628,-0.0795663833618164,0.05002508163452148,logit
cohort 1,9,old_miou,10,0.6765686799528661,0.06715937201483557,1.2207845367759016,pp
cohort 1,10,all_miou,10,0.8056056339908841,0.2698848796050629,1.2917846450304171,pp
cohort 1,10,new_miou,10,0.07078878779898917,-0.18549908007490673,0.34960521598223687,pp
cohort 1,10,old_boundary_iou,10,0.6163898188479374,0.06659135241374348,1.3062424607801482,pp
cohort 1,10,old_boundary_margin,10,0.010441732406616212,-0.16963419914245606,0.20036687850952148,logit
cohort 1,10,old_miou,10,0.7308777709063965,0.06462421958129322,1.32733853749044,pp
replication,1,all_miou,10,0.006133658352197591,-0.00468183234502928,0.018015613635559147,pp
replication,1,new_miou,10,0.027752565082758144,0.013727971989236365,0.0411107036764613,pp
replication,1,old_boundary_iou,10,-0.040941510695087224,-0.16589689202763047,0.05406088584023472,pp
replication,1,old_boundary_margin,10,0.0001859426498413086,-0.002124166488647461,0.0021438360214233398,logit
replication,1,old_miou,10,0.0039237002983183444,-0.008516582768438585,0.01725954434209309,pp
replication,2,all_miou,10,-1.5133943650041926,-1.9614394967946314,-1.12500888991932,pp
replication,2,new_miou,10,-4.525196725284205,-5.965138070182827,-3.2411798392295785,pp
replication,2,old_boundary_iou,10,-0.9147852631069853,-2.0209062466179173,-0.1553406855140732,pp
