rank,condition,metric,n,mean,ci95_low,ci95_high
8,cauchy_object_aware,aa_gain_pp,10,0.08362435309229141,-0.12297432162838842,0.29022302781297127
8,cauchy_object_aware,af_reduction_pp,10,0.0958164727259041,-0.16218729609981086,0.35382024155161906
8,cauchy_object_aware,effective_rank_change,10,-8.599871826171874,-9.212699569455037,-7.987044082888712
8,cauchy_object_aware,overlap_reduction,10,-0.06353870704770088,-0.070185524235738,-0.05689188985966377
8,cauchy_object_aware,basis_overlap_reduction,10,-0.5550455123186111,-0.6131245019363691,-0.4969665227008531
8,gaussian_all_cosine,aa_gain_pp,10,0.5926783117125055,0.40193276484515983,0.7834238585798512
8,gaussian_all_cosine,af_reduction_pp,10,0.6202275470737485,0.4148012390519758,0.8256538550955212
8,gaussian_all_cosine,effective_rank_change,10,-31.858404541015624,-32.190067506027994,-31.526741576003253
8,gaussian_all_cosine,overlap_reduction,10,-0.2866470642387867,-0.2904345671609669,-0.28285956131660656
8,gaussian_all_cosine,basis_overlap_reduction,10,-0.5650031238794326,-0.6244900150374691,-0.5055162327213961
8,gaussian_basis_projective,aa_gain_pp,10,0.0492118921259177,-0.180862665825793,0.2792864500776284
8,gaussian_basis_projective,af_reduction_pp,10,0.22105963674335577,-0.01367756724884378,0.4557968407355553
8,gaussian_basis_projective,effective_rank_change,10,-0.7926193237304687,-1.4041789287789448,-0.18105971868199267
8,gaussian_basis_projective,overlap_reduction,10,-0.006967821717262268,-0.008612727164260287,-0.005322916270264249
8,gaussian_basis_projective,basis_overlap_reduction,10,-0.5698803335428237,-0.6345156012162096,-0.5052450658694378
8,gaussian_object_aware,aa_gain_pp,10,0.27118765928606053,0.039486780515210984,0.5028885380569101
8,gaussian_object_aware,af_reduction_pp,10,0.35018275402263005,0.04893214741284313,0.651433360632417
8,gaussian_object_aware,effective_rank_change,10,-32.51826705932617,-33.732136596829555,-31.304397521822782
8,gaussian_object_aware,overlap_reduction,10,-0.29113815501332285,-0.30122895044685377,-0.28104735957979193
8,gaussian_object_aware,basis_overlap_reduction,10,-0.5757775276899337,-0.6368961149932834,-0.5146589403865841
8,gaussian_prototype_only,aa_gain_pp,10,0.3588649105247882,0.15805870962621482,0.5596711114233616
8,gaussian_prototype_only,af_reduction_pp,10,0.34385988465107037,0.1002576974418945,0.5874620718602462
8,gaussian_prototype_only,effective_rank_change,10,-31.741914367675783,-32.41507210262787,-31.068756632723694
8,gaussian_prototype_only,overlap_reduction,10,-0.3012093879282475,-0.3082040941217334,-0.29421468173476156
8,gaussian_prototype_only,basis_overlap_reduction,10,0.02955266535282135,0.00043289496906109837,0.0586724357365816
8,inverse_object_aware,aa_gain_pp,10,0.10601922148078131,-0.08352068710836437,0.295559130069927
8,inverse_object_aware,af_reduction_pp,10,0.19243535198478406,-0.06395836710730574,0.44882907107687386
8,inverse_object_aware,effective_rank_change,10,-3.620561218261719,-3.8974502813143634,-3.3436721552090742
8,inverse_object_aware,overlap_reduction,10,-0.016641584783792497,-0.018080744193333435,-0.015202425374251559
8,inverse_object_aware,basis_overlap_reduction,10,-0.5402697294950485,-0.6120079674769039,-0.46853149151319307
8,laplace_object_aware,aa_gain_pp,10,0.127149915086504,-0.05040354550053555,0.30470337567354355
8,laplace_object_aware,af_reduction_pp,10,0.21538131344003048,-0.00775857835373292,0.4385212052337939
8,laplace_object_aware,effective_rank_change,10,-6.626364135742188,-6.998940296215658,-6.253787975268717
8,laplace_object_aware,overlap_reduction,10,-0.0562134824693203,-0.060646889085556745,-0.051780075853083855
8,laplace_object_aware,basis_overlap_reduction,10,-0.5675546914339066,-0.6371925216203813,-0.49791686124743184
16,cauchy_object_aware,aa_gain_pp,10,0.36110277420570186,0.045492939695121026,0.6767126087162827
16,cauchy_object_aware,af_reduction_pp,10,0.23622657791473892,-0.09713631500366834,0.5695894708331461
16,cauchy_object_aware,effective_rank_change,10,-8.995695495605469,-9.500498134037098,-8.49089285717384
16,cauchy_object_aware,overlap_reduction,10,-0.06717942133545876,-0.07263683806074478,-0.06172200461017274
16,cauchy_object_aware,basis_overlap_reduction,10,-0.543811671435833,-0.6331839265512773,-0.45443941632038864
16,gaussian_all_cosine,aa_gain_pp,10,0.9528632898737044,0.6026401858444824,1.3030863939029262
16,gaussian_all_cosine,af_reduction_pp,10,0.9090425437668586,0.5874286969970102,1.230656390536707
16,gaussian_all_cosine,effective_rank_change,10,-31.341433715820312,-32.0512049583961,-30.63166247324452
16,gaussian_all_cosine,overlap_reduction,10,-0.2864835046231747,-0.29482055603111634,-0.278146453215233
16,gaussian_all_cosine,basis_overlap_reduction,10,-0.6597801312804222,-0.6918053498456581,-0.6277549127151864
16,gaussian_basis_projective,aa_gain_pp,10,0.3059234154026228,-0.06631981351559685,0.6781666443208425
16,gaussian_basis_projective,af_reduction_pp,10,0.3486410112977133,-0.066567334059426,0.7638493566548525
16,gaussian_basis_projective,effective_rank_change,10,-1.171600341796875,-1.6647847895474568,-0.6784158940462932
16,gaussian_basis_projective,overlap_reduction,10,-0.007212908565998077,-0.00914622502846731,-0.005279592103528845
16,gaussian_basis_projective,basis_overlap_reduction,10,-0.5949775323271751,-0.6782352684982121,-0.511719796156138
16,gaussian_object_aware,aa_gain_pp,10,0.7368384399306194,0.40073670604413486,1.0729401738171038
16,gaussian_object_aware,af_reduction_pp,10,0.7952054438343669,0.46184909212785535,1.1285617955408784
16,gaussian_object_aware,effective_rank_change,10,-33.488990783691406,-34.67375299360839,-32.304228573774424
16,gaussian_object_aware,overlap_reduction,10,-0.30268129631876944,-0.31367071496485927,-0.2916918776726796
16,gaussian_object_aware,basis_overlap_reduction,10,-0.6194044455885888,-0.6813906428844285,-0.557418248292749
16,gaussian_prototype_only,aa_gain_pp,10,0.2984759186912598,-0.033505747638769734,0.6304575850212892
16,gaussian_prototype_only,af_reduction_pp,10,0.19104194022066096,-0.15260795110708308,0.534691831548405
16,gaussian_prototype_only,effective_rank_change,10,-32.523231506347656,-33.24074511821531,-31.805717894480008
16,gaussian_prototype_only,overlap_reduction,10,-0.3210292123258114,-0.3285233287802345,-0.3135350958713883
16,gaussian_prototype_only,basis_overlap_reduction,10,0.006237919628620148,-0.012295623266507402,0.024771462523747696
16,inverse_object_aware,aa_gain_pp,10,0.08749920837709055,-0.2230946005266247,0.3980930172808058
16,inverse_object_aware,af_reduction_pp,10,-0.08971929130779106,-0.43948783287455834,0.26004925025897624
16,inverse_object_aware,effective_rank_change,10,-4.3246826171875,-4.718123836880526,-3.931241397494474
16,inverse_object_aware,overlap_reduction,10,-0.020084372162818907,-0.023318797713595938,-0.016849946612041877
16,inverse_object_aware,basis_overlap_reduction,10,-0.4344717189669609,-0.5204793953827336,-0.3484640425511883
16,laplace_object_aware,aa_gain_pp,10,0.3379892018383444,-0.0008881608808729569,0.6768665645575618
16,laplace_object_aware,af_reduction_pp,10,0.23359560567999385,-0.16193767721061406,0.6291288885706018
16,laplace_object_aware,effective_rank_change,10,-7.060121154785156,-7.451724785556775,-6.668517524013537
16,laplace_object_aware,overlap_reduction,10,-0.05765248909592628,-0.06279097128763005,-0.05251400690422251
16,laplace_object_aware,basis_overlap_reduction,10,-0.5637954875826836,-0.6537152344467153,-0.4738757407186519
32,cauchy_object_aware,aa_gain_pp,10,0.513146945613839,0.1429560480597888,0.8833378431678892
32,cauchy_object_aware,af_reduction_pp,10,0.28259836937037763,-0.11326271600708676,0.678459454747842
32,cauchy_object_aware,effective_rank_change,10,-9.618238830566407,-10.150083573534282,-9.086394087598531
32,cauchy_object_aware,overlap_reduction,10,-0.06945896297693252,-0.07674623428716632,-0.06217169166669873
32,cauchy_object_aware,basis_overlap_reduction,10,-0.5739343360066413,-0.6417392884563397,-0.506129383556943
32,gaussian_all_cosine,aa_gain_pp,10,1.2790601341356251,0.8907626287863504,1.6673576394849
32,gaussian_all_cosine,af_reduction_pp,10,0.9149788772378618,0.4865529165260166,1.343404837949707
32,gaussian_all_cosine,effective_rank_change,10,-30.81987762451172,-32.206654478387435,-29.433100770636003
32,gaussian_all_cosine,overlap_reduction,10,-0.28756753653287886,-0.2983256561873534,-0.2768094168784043
32,gaussian_all_cosine,basis_overlap_reduction,10,-0.6715269401669502,-0.6953257390023072,-0.6477281413315933
32,gaussian_basis_projective,aa_gain_pp,10,0.8686212177620802,0.5104182691996346,1.2268241663245258
32,gaussian_basis_projective,af_reduction_pp,10,0.6994408085086923,0.3215393237120834,1.0773422933053012
32,gaussian_basis_projective,effective_rank_change,10,-1.629791259765625,-1.9485292558902239,-1.3110532636410261
32,gaussian_basis_projective,overlap_reduction,10,-0.0055877014994621275,-0.008325295029950379,-0.0028501079689738766
32,gaussian_basis_projective,basis_overlap_reduction,10,-0.6269938185811043,-0.6813968623182474,-0.5725907748439611
32,gaussian_object_aware,aa_gain_pp,10,0.9694147893507334,0.588446759285074,1.350382819416393
32,gaussian_object_aware,af_reduction_pp,10,0.7811872016764829,0.3715932301218805,1.1907811732310853
32,gaussian_object_aware,effective_rank_change,10,-33.37042083740234,-34.63638416713036,-32.104457507674326
32,gaussian_object_aware,overlap_reduction,10,-0.309156234562397,-0.3186576917564601,-0.2996547773683339
32,gaussian_object_aware,basis_overlap_reduction,10,-0.6622961416840554,-0.6902341959761541,-0.6343580873919566
32,gaussian_prototype_only,aa_gain_pp,10,0.3411701128452549,0.01170912106130334,0.6706311046292064
32,gaussian_prototype_only,af_reduction_pp,10,0.02811954248241415,-0.4005051911923155,0.4567442761571438
32,gaussian_prototype_only,effective_rank_change,10,-34.22132873535156,-35.082135419598416,-33.36052205110471
32,gaussian_prototype_only,overlap_reduction,10,-0.3411072835326195,-0.34820511971629875,-0.3340094473489402
32,gaussian_prototype_only,basis_overlap_reduction,10,-0.0007170155644416809,-0.009424739195096192,0.007990708066212831
32,inverse_object_aware,aa_gain_pp,10,0.45286181049448687,0.11268465421397555,0.7930389667749982
32,inverse_object_aware,af_reduction_pp,10,0.18602933511277758,-0.2971513938303351,0.6692100640558902
32,inverse_object_aware,effective_rank_change,10,-5.09066162109375,-5.461034672410825,-4.720288569776674
32,inverse_object_aware,overlap_reduction,10,-0.020369961112737655,-0.02415524160247641,-0.0165846806229989
32,inverse_object_aware,basis_overlap_reduction,10,-0.4259773328900337,-0.48505498859556107,-0.36689967718450633
32,laplace_object_aware,aa_gain_pp,10,0.6393478718466241,0.18858055145316882,1.0901151922400794
32,laplace_object_aware,af_reduction_pp,10,0.1973520734859961,-0.2874517363683036,0.6821558833402959
32,laplace_object_aware,effective_rank_change,10,-7.826412963867187,-8.301868195190009,-7.350957732544366
32,laplace_object_aware,overlap_reduction,10,-0.05926005095243454,-0.06508517881694292,-0.05343492308792616
32,laplace_object_aware,basis_overlap_reduction,10,-0.5744640484452248,-0.6253848112805571,-0.5235432856098925
