dataset,seed,metric,direction,ft,ssr,favorable_delta
zsre,13101,immediate_efficacy,higher,100.0,100.0,0.0
zsre,13101,rephrase,higher,99.0,99.0,0.0
zsre,13101,portability,higher,26.0,30.0,4.0
zsre,13101,auxiliary_relation_consistency,higher,11.0,14.000000000000002,3.0000000000000018
zsre,13101,final_history_efficacy,higher,46.0,56.99999999999999,10.999999999999993
zsre,13101,pre_edit_output_consistency,higher,21.914204861968756,22.128076013177633,0.21387115120887756
zsre,13101,update_effective_rank,higher,556.8456420898438,562.52099609375,5.67535400390625
zsre,13101,update_offdiag_cosine_reduction,lower,0.02071315608918667,0.020709257572889328,3.898516297340393e-06
zsre,13101,update_rms,descriptive,0.004096790682524443,0.00407012365758419,-2.6667024940252304e-05
zsre,13102,immediate_efficacy,higher,100.0,100.0,0.0
zsre,13102,rephrase,higher,100.0,100.0,0.0
zsre,13102,portability,higher,23.0,24.0,1.0
zsre,13102,auxiliary_relation_consistency,higher,14.000000000000002,12.0,-2.0000000000000018
zsre,13102,final_history_efficacy,higher,44.0,35.0,-9.0
zsre,13102,pre_edit_output_consistency,higher,18.955091387033463,20.413124095648527,1.4580327086150646
zsre,13102,update_effective_rank,higher,557.167236328125,567.2301025390625,10.0628662109375
zsre,13102,update_offdiag_cosine_reduction,lower,0.021128647029399872,0.020205726847052574,0.0009229201823472977
zsre,13102,update_rms,descriptive,0.004183133598417044,0.004131755325943232,-5.13782724738121e-05
zsre,13103,immediate_efficacy,higher,100.0,100.0,0.0
zsre,13103,rephrase,higher,99.0,100.0,1.0
zsre,13103,portability,higher,22.0,20.0,-2.0
zsre,13103,auxiliary_relation_consistency,higher,11.5,15.0,3.5
zsre,13103,final_history_efficacy,higher,48.0,42.0,-6.0
zsre,13103,pre_edit_output_consistency,higher,24.36435902491212,27.271960116922855,2.9076010920107365
zsre,13103,update_effective_rank,higher,553.7294311523438,562.1571044921875,8.42767333984375
zsre,13103,update_offdiag_cosine_reduction,lower,0.020790155977010727,0.02050047554075718,0.00028968043625354767
zsre,13103,update_rms,descriptive,0.0040826452895998955,0.004123697988688946,4.105269908905029e-05
zsre,13104,immediate_efficacy,higher,100.0,99.0,-1.0
zsre,13104,rephrase,higher,100.0,99.0,-1.0
zsre,13104,portability,higher,35.0,32.0,-3.0
zsre,13104,auxiliary_relation_consistency,higher,10.0,10.0,0.0
zsre,13104,final_history_efficacy,higher,35.0,44.0,9.0
zsre,13104,pre_edit_output_consistency,higher,21.545901708304882,21.89875692129135,0.35285521298646927
zsre,13104,update_effective_rank,higher,566.4937744140625,555.708984375,-10.7847900390625
zsre,13104,update_offdiag_cosine_reduction,lower,0.020276552066206932,0.020933140069246292,-0.00065658800303936
zsre,13104,update_rms,descriptive,0.0040907771326601505,0.0042686969973146915,0.00017791986465454102
cf,13101,immediate_efficacy,higher,100.0,100.0,0.0
cf,13101,rephrase,higher,91.0,96.0,5.0
cf,13101,portability,higher,73.66910268219556,75.47714522887449,1.8080425466789336
cf,13101,auxiliary_relation_consistency,higher,8.13317932067932,10.091350316350317,1.9581709956709972
cf,13101,final_history_efficacy,higher,16.0,14.000000000000002,-1.9999999999999982
cf,13101,pre_edit_output_consistency,higher,33.10963064432144,32.78078222647309,-0.3288484178483486
cf,13101,update_effective_rank,higher,545.1277465820312,547.8442993164062,2.716552734375
cf,13101,update_offdiag_cosine_reduction,lower,0.021506110206246376,0.021407797932624817,9.831227362155914e-05
cf,13101,update_rms,descriptive,0.004136282484978437,0.004092003684490919,-4.427880048751831e-05
cf,13102,immediate_efficacy,higher,100.0,100.0,0.0
cf,13102,rephrase,higher,89.0,89.0,0.0
cf,13102,portability,higher,73.65363711701572,70.28956442563302,-3.3640726913827024
cf,13102,auxiliary_relation_consistency,higher,7.127020202020201,5.5409562659562654,-1.586063936063936
cf,13102,final_history_efficacy,higher,18.0,17.0,-1.0
cf,13102,pre_edit_output_consistency,higher,29.538761731237173,29.021191876381636,-0.5175698548555374
cf,13102,update_effective_rank,higher,552.9326171875,550.6634521484375,-2.2691650390625
cf,13102,update_offdiag_cosine_reduction,lower,0.02068699710071087,0.02098885178565979,-0.0003018546849489212
cf,13102,update_rms,descriptive,0.004176064860075712,0.0040963562205433846,-7.970863953232765e-05
cf,13103,immediate_efficacy,higher,100.0,100.0,0.0
cf,13103,rephrase,higher,94.0,90.0,-4.0
cf,13103,portability,higher,73.84203499554374,72.85973951324827,-0.9822954822954699
cf,13103,auxiliary_relation_consistency,higher,7.86243837861485,7.771904892493127,-0.09053348612172307
cf,13103,final_history_efficacy,higher,11.0,11.0,0.0
cf,13103,pre_edit_output_consistency,higher,32.96523420140147,34.014642983675,1.049408782273531
cf,13103,update_effective_rank,higher,529.46484375,556.8097534179688,27.34490966796875
cf,13103,update_offdiag_cosine_reduction,lower,0.02214367873966694,0.02066102623939514,0.0014826525002717972
cf,13103,update_rms,descriptive,0.004151448607444763,0.004095172509551048,-5.6276097893714905e-05
cf,13104,immediate_efficacy,higher,100.0,100.0,0.0
cf,13104,rephrase,higher,95.0,94.0,-1.0
cf,13104,portability,higher,73.59895747230811,74.73509748836852,1.1361400160604092
cf,13104,auxiliary_relation_consistency,higher,9.080058830058828,6.3467504717504735,-2.7333083583083546
cf,13104,final_history_efficacy,higher,13.0,15.0,2.0
cf,13104,pre_edit_output_consistency,higher,35.00037956982851,34.801010973751545,-0.19936859607696533
cf,13104,update_effective_rank,higher,532.1802978515625,541.4803466796875,9.300048828125
cf,13104,update_offdiag_cosine_reduction,lower,0.022260243073105812,0.02155137248337269,0.0007088705897331238
cf,13104,update_rms,descriptive,0.004156776238232851,0.004154280759394169,-2.4954788386821747e-06
