seed,arm,immediate_efficacy_pct,immediate_locality_pct,immediate_rephrase_pct,immediate_portability_pct
12231,LoRA,61.0,1.5,41.0,4.0
12232,LoRA,71.0,2.0,45.0,10.0
12233,LoRA,77.0,0.5,45.0,7.0
12234,LoRA,76.0,0.5,45.0,10.0
12235,LoRA,75.0,0.0,52.0,12.0
12236,LoRA,66.0,0.0,32.0,7.0
12237,LoRA,55.0,0.0,34.0,9.0
12238,LoRA,64.0,1.0,48.0,7.0
12239,LoRA,70.0,0.0,36.0,7.0
12240,LoRA,79.0,0.0,45.0,13.0
12231,LoRA+SSR,65.0,2.0,40.0,8.0
12232,LoRA+SSR,78.0,1.0,52.0,8.0
12233,LoRA+SSR,88.0,0.0,42.0,9.0
12234,LoRA+SSR,87.0,0.5,49.0,7.0
12235,LoRA+SSR,82.0,0.0,44.0,11.0
12236,LoRA+SSR,78.0,0.0,45.0,11.0
12237,LoRA+SSR,86.0,0.0,59.0,12.0
12238,LoRA+SSR,89.0,1.5,62.0,7.0
12239,LoRA+SSR,80.0,1.0,41.0,7.0
12240,LoRA+SSR,82.0,0.0,56.0,12.0
