dataset,contrast_type,contrast,mapping,recipe,control_recipe,control_mapping,treatment_recipe,treatment_mapping,metric,higher_is_better,seed,data_offset,n_edits,dataset_hash,record_cohort_hash,pairing_protocol_hash,control_value,treatment_value,raw_difference,favorable_difference
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17332,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17333,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,99.0,-1.0,-1.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17334,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17335,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17336,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17337,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17338,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17339,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,efficacy,True,17340,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,100.0,100.0,0.0,0.0
cf,recipe,ssr_only_minus_plain,cosine,,plain,none,ssr_only,cosine,final_history_efficacy,True,17332,500,100,efc01ba398dfe04975939f729aab45523addb3c6b3cf41d7429ba5de1d45225b,0b630010bc67ca945679e5688cd5e5128e021ab6472b1929bd6f7eaf2556f2ae,dcd96c9fa03928efe7e86a0a029a9765e9aac4af971487c4036a81145619882d,12.0,13.0,1.0,1.0
