task_family,dataset,model,run_id,recipe,distance_mapping,seed,data_offset,n_edits,metric,value,result_path
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9311/results.json,full,projective,9311,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9311/results.json,full,projective,9311,500,100,final_history_efficacy,8.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9311/results.json,full,projective,9311,500,100,final_history_locality,8.545569544834253,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9311/results.json,full,projective,9311,500,100,locality,7.452073171926115,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9311/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9313/results.json,full,projective,9313,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9313/results.json,full,projective,9313,500,100,final_history_efficacy,10.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9313/results.json,full,projective,9313,500,100,final_history_locality,13.58826377870495,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9313/results.json,full,projective,9313,500,100,locality,6.204097128361835,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9313/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9315/results.json,full,projective,9315,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9315/results.json,full,projective,9315,500,100,final_history_efficacy,5.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9315/results.json,full,projective,9315,500,100,final_history_locality,6.32340837267308,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9315/results.json,full,projective,9315,500,100,locality,8.40023750759045,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9315/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9317/results.json,full,projective,9317,500,100,efficacy,99.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9317/results.json,full,projective,9317,500,100,final_history_efficacy,14.000000000000002,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9317/results.json,full,projective,9317,500,100,final_history_locality,12.225064069917007,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9317/results.json,full,projective,9317,500,100,locality,7.993985426338368,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9317/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9319/results.json,full,projective,9319,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9319/results.json,full,projective,9319,500,100,final_history_efficacy,14.000000000000002,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9319/results.json,full,projective,9319,500,100,final_history_locality,8.589256413521118,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9319/results.json,full,projective,9319,500,100,locality,8.405486017250723,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9319/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9321/results.json,full,projective,9321,500,100,efficacy,100.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9321/results.json,full,projective,9321,500,100,final_history_efficacy,10.0,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9321/result_record.json
editing,cf,gpt2-xl,legacy:cf/cf_full_gaussian_reference_projective_l0p003_seed9321/results.json,full,projective,9321,500,100,final_history_locality,6.458744849921322,results/meeting_20260803/imported_decisive_editing/cf/full/projective/seed_9321/result_record.json
